Date,febre,dores no corpo
2004-01,3,0
2004-02,6,0
2004-03,19,0
2004-04,12,61
2004-05,17,50
2004-06,13,100
2004-07,10,56
2004-08,13,48
2004-09,12,48
2004-10,16,48
2004-11,15,47
2004-12,10,47
2005-01,12,47
2005-02,9,37
2005-03,16,37
2005-04,16,43
2005-05,14,40
2005-06,13,40
2005-07,6,40
2005-08,18,70
2005-09,11,33
2005-10,42,50
2005-11,97,66
2005-12,18,34
2006-01,11,34
2006-02,18,34
2006-03,18,44
2006-04,17,54
2006-05,15,38
2006-06,16,38
2006-07,9,25
2006-08,11,41
2006-09,14,40
2006-10,14,46
2006-11,10,17
2006-12,7,38
2007-01,6,16
2007-02,10,17
2007-03,12,41
2007-04,11,27
2007-05,14,11
2007-06,12,36
2007-07,10,25
2007-08,9,25
2007-09,10,26
2007-10,13,24
2007-11,11,19
2007-12,8,32
2008-01,100,19
2008-02,30,19
2008-03,21,34
2008-04,18,29
2008-05,13,25
2008-06,15,20
2008-07,10,16
2008-08,11,23
2008-09,10,19
2008-10,10,27
2008-11,11,23
2008-12,8,17
2009-01,10,37
2009-02,10,28
2009-03,13,64
2009-04,28,33
2009-05,14,19
2009-06,11,31
2009-07,10,21
2009-08,13,30
2009-09,11,29
2009-10,10,18
2009-11,10,16
2009-12,8,40
2010-01,9,41
2010-02,7,37
2010-03,11,14
2010-04,11,47
2010-05,10,26
2010-06,10,15
2010-07,7,18
2010-08,9,30
2010-09,10,42
2010-10,9,16
2010-11,10,24
2010-12,8,23
2011-01,9,35
2011-02,9,46
2011-03,10,39
2011-04,9,40
2011-05,9,27
2011-06,9,21
2011-07,8,25
2011-08,10,29
2011-09,10,30
2011-10,10,31
2011-11,10,25
2011-12,9,34
2012-01,8,33
2012-02,8,34
2012-03,10,31
2012-04,10,34
2012-05,10,32
2012-06,11,34
2012-07,10,33
2012-08,10,33
2012-09,11,36
2012-10,10,39
2012-11,11,40
2012-12,10,34
2013-01,9,36
2013-02,11,39
2013-03,12,41
2013-04,15,41
2013-05,13,42
2013-06,12,42
2013-07,10,36
2013-08,11,37
2013-09,12,34
2013-10,12,35
2013-11,12,31
2013-12,11,34
2014-01,11,45
2014-02,11,47
2014-03,14,40
2014-04,16,57
2014-05,16,42
2014-06,15,45
2014-07,12,34
2014-08,14,39
2014-09,16,46
2014-10,16,36
2014-11,15,40
2014-12,15,42
2015-01,14,42
2015-02,16,53
2015-03,25,61
2015-04,26,53
2015-05,23,56
2015-06,19,52
2015-07,16,49
2015-08,17,49
2015-09,17,56
2015-10,17,51
2015-11,17,44
2015-12,19,51
2016-01,18,63
2016-02,21,58
2016-03,27,68
2016-04,29,73
2016-05,20,48
2016-06,16,45
2016-07,17,47
2016-08,17,54
2016-09,19,60
2016-10,20,61
2016-11,21,54
