Category: All categories

Month,dores no corpo: (State of São Paulo)
2004-01,0
2004-02,0
2004-03,0
2004-04,61
2004-05,50
2004-06,100
2004-07,56
2004-08,48
2004-09,48
2004-10,48
2004-11,47
2004-12,47
2005-01,47
2005-02,37
2005-03,37
2005-04,43
2005-05,40
2005-06,40
2005-07,40
2005-08,70
2005-09,33
2005-10,50
2005-11,66
2005-12,34
2006-01,34
2006-02,34
2006-03,44
2006-04,54
2006-05,38
2006-06,38
2006-07,25
2006-08,41
2006-09,40
2006-10,46
2006-11,17
2006-12,38
2007-01,16
2007-02,17
2007-03,41
2007-04,27
2007-05,11
2007-06,36
2007-07,25
2007-08,25
2007-09,26
2007-10,24
2007-11,19
2007-12,32
2008-01,19
2008-02,19
2008-03,34
2008-04,29
2008-05,25
2008-06,20
2008-07,16
2008-08,23
2008-09,19
2008-10,27
2008-11,23
2008-12,17
2009-01,37
2009-02,28
2009-03,64
2009-04,33
2009-05,19
2009-06,31
2009-07,21
2009-08,30
2009-09,29
2009-10,18
2009-11,16
2009-12,40
2010-01,41
2010-02,37
2010-03,14
2010-04,47
2010-05,26
2010-06,15
2010-07,18
2010-08,30
2010-09,42
2010-10,16
2010-11,24
2010-12,23
2011-01,35
2011-02,46
2011-03,39
2011-04,40
2011-05,27
2011-06,21
2011-07,25
2011-08,29
2011-09,30
2011-10,31
2011-11,25
2011-12,34
2012-01,33
2012-02,34
2012-03,31
2012-04,34
2012-05,32
2012-06,34
2012-07,33
2012-08,33
2012-09,36
2012-10,39
2012-11,40
2012-12,34
2013-01,36
2013-02,39
2013-03,41
2013-04,41
2013-05,42
2013-06,42
2013-07,36
2013-08,37
2013-09,34
2013-10,35
2013-11,31
2013-12,34
2014-01,45
2014-02,47
2014-03,40
2014-04,57
2014-05,42
2014-06,45
2014-07,34
2014-08,39
2014-09,46
2014-10,36
2014-11,40
2014-12,42
2015-01,42
2015-02,53
2015-03,61
2015-04,53
2015-05,56
2015-06,52
2015-07,49
2015-08,49
2015-09,56
2015-10,51
2015-11,44
2015-12,51
2016-01,63
2016-02,58
2016-03,68
2016-04,73
2016-05,48
2016-06,45
2016-07,47
2016-08,54
2016-09,60
2016-10,61
2016-11,54
