PRINCÍPIO ATIVO,REGISTRO,PRODUTO,APRESENTAÇÃO,CLASSE TERAPÊUTICA,RESTRIÇÃO HOSPITALAR
ABATACEPTE,1018003900019,ORENCIA,250 MG PO LIOF INJ CT FA + SER DESC,M01C0 - AGENTES ANTI-REUMÁTICOS ESPECÍFICOS,Sim
ABATACEPTE,1018003900027,ORENCIA,125 MG/ML SOL INJ CT 1 SER PREENCHIDA,M01C0 - AGENTES ANTI-REUMÁTICOS ESPECÍFICOS,Não
ABATACEPTE,1018003900035,ORENCIA,125 MG/ML SOL INJ CT 4 SER PREENCHIDA,M01C0 - AGENTES ANTI-REUMÁTICOS ESPECÍFICOS,Não
ABATACEPTE,1018003900043,ORENCIA,125 MG/ML SOL INJ CT 1 SER PREENCHIDA + DISPOSITIVO ULTRASAFE,M01C0 - AGENTES ANTI-REUMÁTICOS ESPECÍFICOS,Não
ABATACEPTE,1018003900051,ORENCIA,125 MG/ML SOL INJ CT 4 SER PREENCHIDA + DISPOSITIVO ULTRASAFE,M01C0 - AGENTES ANTI-REUMÁTICOS ESPECÍFICOS,Não
ABATACEPTE,1018003900061,ORENCIA,125 MG/ML SOL INJ CT 1 SER PREENC VD TRANS + DISPOSITIVO ULTRASAFE PASSIVE + EXTENSORES DE APOIO,M01C0 - AGENTES ANTI-REUMÁTICOS ESPECÍFICOS,Não
ABATACEPTE,1018003900078,ORENCIA,125 MG/ML SOL INJ CT 4 SER PREENC VD TRANS + DISPOSITIVO ULTRASAFE PASSIVE + EXTENSORES DE APOIO,M01C0 - AGENTES ANTI-REUMÁTICOS ESPECÍFICOS,Não
ABCIXIMABE,1126000100027,REOPRO,2 MG/ML SOL INJ CT FA VD INC X 5 ML,"B01C3 - INIBIDORES DA AGREGAÇÃO PLAQUETÁRIA, ANTAGONISTAS GLICOPROTEÍNA IIB/IIIA",Sim
ACARBOSE,1356900350083,AGLUCOSE,100 MG COM CT 3 BL AL PVDC LEIT X 10,A10L0 - ANTIDIABÉTICOS INIBIDORES ALFA-GLUCOSIDASE,Não
ACARBOSE,1705600740091,GLUCOBAY,100 MG COM CT BL AL/AL X 30,A10L0 - ANTIDIABÉTICOS INIBIDORES ALFA-GLUCOSIDASE,Não
ACARBOSE,1356900350032,AGLUCOSE,50 MG COM CT 3 BL AL PVDC LEIT X 10,A10L0 - ANTIDIABÉTICOS INIBIDORES ALFA-GLUCOSIDASE,Não
ACARBOSE,1705600740073,GLUCOBAY,50 MG COM CT BL AL/AL X 30,A10L0 - ANTIDIABÉTICOS INIBIDORES ALFA-GLUCOSIDASE,Não
ACEBROFILINA,1004310860022,FILINAR G,5 MG/ML GEL OR CT FR PLAS INC X 120ML + COL MED,R05C0 - EXPECTORANTES,Não
ACEBROFILINA,1356903940035,EXPECDILAT,10 MG/ML XPE CT FR VD AMB X 120 ML + CP MED,R05C0 - EXPECTORANTES,Não
ACEBROFILINA,1438101310011,ACEBROFILINA,10 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED,R05C0 - EXPECTORANTES,Não
ACEBROFILINA,1438101310038,ACEBROFILINA,10 MG/ML XPE CX 50 FR PLAS AMB X 120 ML + 50 CP MED (EMB HOSP),R05C0 - EXPECTORANTES,Sim
ACEBROFILINA,1542301160050,BRONTEK,10 MG/ML XPE CT FR PEAD X 120 ML + CP MED,R05C0 - EXPECTORANTES,Não
ACEBROFILINA,1542301160069,BRONTEK,10 MG/ML XPE CX 60 FR PEAD X 120 ML + 60 CP MED (EMB HOSP),R05C0 - EXPECTORANTES,Sim
ACEBROFILINA,1542301230016,ACEBROFILINA,10MG/ML XPE CT FR VD AMB X 120ML + CP MED,R05C0 - EXPECTORANTES,Não
ACEBROFILINA,1542301230059,ACEBROFILINA,10 MG/ML XPE CT FR PEAD X 120 ML + CP MED,R05C0 - EXPECTORANTES,Não
ACEBROFILINA,1542301230067,ACEBROFILINA,10 MG/ML XPE CX 60 FR PEAD X 120 ML + 60 CP MED (EMB HOSP),R05C0 - EXPECTORANTES,Sim
ACEBROFILINA,1542301160018,BRONTEK,10 MG/ML XPE CT FR VD AMB X 120 ML + CP MED,R05C0 - EXPECTORANTES,Não
ACEBROFILINA,1677301840026,BRONCOLEX,10 MG/ML XPE AD CT FR VD AMB X 120 ML + CP MED X 10 ML,R05C0 - EXPECTORANTES,Não
ACEBROFILINA,1677303210021,ACEBROFILINA,10 MG/ML XPE CT FR VD AMB X 120 ML + CP MED,R05C0 - EXPECTORANTES,Não
ACEBROFILINA,1779400170013,BRONFILIL,10 MG/ML XPE CT FR VD AMB X 120 ML + COPO MED,R05C0 - EXPECTORANTES,Não
ACEBROFILINA,1832600370032,ACEBROFILINA,10 MG/ML XPE CT FR VD AMB X 120 ML + DOSADOR ,R05C0 - EXPECTORANTES,Não
ACEBROFILINA,1053501620024,RESPIRAN,10 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED,R05C0 - EXPECTORANTES,Não
ACEBROFILINA,1037004620131,ACEBROFILINA,10 MG/ML XPE CT FR PLAS OPC X 120ML + COP MED,R05C0 - EXPECTORANTES,Não
ACEBROFILINA,1037004620253,ACEBROFILINA,10 MG/ML XPE CT FR PET AMB X 120 ML + COP,R05C0 - EXPECTORANTES,Não
ACEBROFILINA,1037004620059,ACEBROFILINA,10 MG/ML XPE CT FR VD AMB X 120ML ,R05C0 - EXPECTORANTES,Não
ACEBROFILINA,1037005630031,DILABRONCO,10 MG/ML XPE CT FR PLAS OPC X 120 ML + CP MED,R05C0 - EXPECTORANTES,Não
ACEBROFILINA,1046502310018,BRONDYNEO,10 MG/ ML XPE CT FR VD AMB X 120 ML + CP MED,R05C0 - EXPECTORANTES,Não
ACEBROFILINA,1046504180030,ACEBROFILINA,10 MG/ML XPE CT FR VD AMB X 120 ML + CP MED,R05C0 - EXPECTORANTES,Não
ACEBROFILINA,1058303150022,ACEBROFILINA,10 MG/ML XPE CT FR VD AMB X 120 ML + COP,R05C0 - EXPECTORANTES,Não
ACEBROFILINA,1121303330044,ACEBROFILINA,10 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED,R05C0 - EXPECTORANTES,Não
ACEBROFILINA,1121303330028,ACEBROFILINA,10 MG/ML XPE CT FR VD AMB X 120 ML + CP MED,R05C0 - EXPECTORANTES,Não
