Date,febre,manchas vermelhas pelo corpo,moleza,nausea,perda de paladar e apetite
2004-01-04,72,0,0,0,0
2004-01-11,62,0,0,0,0
2004-01-18,62,0,0,0,0
2004-01-25,62,0,0,0,0
2004-02-01,62,0,0,0,0
2004-02-08,62,0,0,0,0
2004-02-15,0,0,0,0,0
2004-02-22,0,0,0,0,0
2004-02-29,0,0,0,0,0
2004-03-07,0,0,0,0,0
2004-03-14,0,0,0,0,0
2004-03-21,0,0,0,0,0
2004-03-28,44,0,0,0,0
2004-04-04,0,0,0,0,0
2004-04-11,0,0,0,0,0
2004-04-18,0,0,0,0,0
2004-04-25,0,0,0,0,0
2004-05-02,0,0,0,0,0
2004-05-09,0,0,0,0,0
2004-05-16,0,0,39,0,0
2004-05-23,39,0,0,0,0
2004-05-30,37,0,0,0,0
2004-06-06,49,0,0,0,0
2004-06-13,61,0,0,0,0
2004-06-20,72,0,0,0,0
2004-06-27,84,0,0,0,0
2004-07-04,0,0,0,0,0
2004-07-11,0,0,0,0,0
2004-07-18,0,0,0,0,0
2004-07-25,0,0,0,0,0
2004-08-01,0,0,0,0,0
2004-08-08,40,0,38,0,0
2004-08-15,0,0,0,0,0
2004-08-22,0,0,0,0,0
2004-08-29,0,0,0,0,0
2004-09-05,0,0,0,0,0
2004-09-12,0,0,0,0,0
2004-09-19,0,0,35,0,0
2004-09-26,0,0,0,0,0
2004-10-03,0,0,0,0,0
2004-10-10,0,0,0,0,0
2004-10-17,30,0,0,0,0
2004-10-24,0,0,0,0,0
2004-10-31,0,0,0,0,0
2004-11-07,0,0,0,0,0
2004-11-14,0,0,37,0,0
2004-11-21,0,0,0,0,0
2004-11-28,0,0,0,0,0
2004-12-05,0,0,0,0,0
2004-12-12,0,0,0,0,0
2004-12-19,0,0,0,0,0
2004-12-26,0,0,0,0,0
2005-01-02,40,0,0,0,0
2005-01-09,38,0,0,0,0
2005-01-16,38,0,0,0,0
2005-01-23,38,0,0,0,0
2005-01-30,38,0,0,0,0
2005-02-06,38,0,0,0,0
2005-02-13,32,0,0,0,0
2005-02-20,0,0,0,0,0
2005-02-27,0,0,0,0,0
2005-03-06,0,0,0,0,0
2005-03-13,0,0,0,0,0
2005-03-20,0,0,0,0,0
2005-03-27,24,0,46,0,0
2005-04-03,25,0,36,0,0
2005-04-10,27,0,26,0,0
2005-04-17,28,0,26,0,0
2005-04-24,26,0,26,0,0
2005-05-01,47,0,26,0,0
2005-05-08,0,0,26,0,0
2005-05-15,0,0,26,0,0
2005-05-22,0,0,26,0,0
2005-05-29,0,0,24,0,0
2005-06-05,0,0,24,0,0
2005-06-12,0,0,24,0,0
2005-06-19,24,0,0,0,0
2005-06-26,25,0,0,0,0
2005-07-03,27,0,0,25,0
2005-07-10,28,0,0,0,0
2005-07-17,23,0,0,0,0
2005-07-24,23,0,0,0,0
2005-07-31,23,0,0,0,0
2005-08-07,21,0,0,0,0
2005-08-14,20,0,0,0,0
2005-08-21,20,0,0,0,0
2005-08-28,20,0,0,0,0
2005-09-04,19,0,0,0,0
2005-09-11,19,0,18,0,0
2005-09-18,18,0,18,0,0
2005-09-25,18,0,18,0,0
2005-10-02,22,0,21,0,0
2005-10-09,25,0,25,0,0
2005-10-16,100,0,28,0,0
2005-10-23,63,0,32,0,0
2005-10-30,36,0,35,0,0
2005-11-06,61,0,22,19,0
2005-11-13,29,0,17,0,0
2005-11-20,44,0,17,0,0
2005-11-27,17,0,18,0,0
2005-12-04,19,0,0,0,0
2005-12-11,22,0,0,0,0
2005-12-18,24,0,0,0,0
2005-12-25,25,0,0,0,0
2006-01-01,26,0,0,0,0
2006-01-08,19,0,0,0,0
2006-01-15,19,0,0,0,0
2006-01-22,19,0,0,0,0
2006-01-29,19,0,0,0,0
2006-02-05,16,0,0,0,0
2006-02-12,16,0,0,0,0
2006-02-19,18,0,0,0,0
2006-02-26,19,0,0,0,0
2006-03-05,20,0,0,0,0
2006-03-12,22,0,0,0,0
2006-03-19,28,0,0,0,0
2006-03-26,14,0,0,0,0
2006-04-02,15,0,0,0,0
2006-04-09,15,0,0,0,0
2006-04-16,14,0,14,0,0
2006-04-23,13,0,14,0,0
2006-04-30,13,0,14,0,0
2006-05-07,13,0,14,14,0
2006-05-14,21,0,0,0,0
2006-05-21,30,0,0,0,0
2006-05-28,12,0,0,0,0
2006-06-04,16,0,0,0,0
2006-06-11,19,0,0,0,0
2006-06-18,23,0,13,0,0
2006-06-25,27,0,0,0,0
2006-07-02,15,0,0,0,0
2006-07-09,15,0,0,0,0
2006-07-16,15,0,0,0,0
2006-07-23,13,0,0,0,0
2006-07-30,13,0,13,0,0
2006-08-06,23,0,11,0,0
2006-08-13,11,0,11,0,0
2006-08-20,11,0,11,0,0
2006-08-27,11,0,12,0,0
2006-09-03,12,0,12,0,0
2006-09-10,16,0,32,0,0
2006-09-17,20,0,20,0,0
2006-09-24,11,0,20,0,0
2006-10-01,11,0,10,0,0
2006-10-08,15,0,10,0,0
2006-10-15,20,0,10,0,0
2006-10-22,11,0,10,0,0
2006-10-29,11,0,11,0,0
2006-11-05,9,0,9,0,0
2006-11-12,9,0,9,10,0
2006-11-19,9,0,9,0,0
2006-11-26,9,0,9,0,0
2006-12-03,10,0,0,0,0
2006-12-10,11,0,0,0,0
2006-12-17,11,0,0,0,0
2006-12-24,12,0,0,0,0
2006-12-31,13,0,0,0,0
2007-01-07,0,0,0,0,0
2007-01-14,14,0,0,0,0
2007-01-21,13,0,14,0,0
2007-01-28,13,0,13,0,0
2007-02-04,13,0,13,0,0
2007-02-11,19,0,13,0,0
2007-02-18,12,0,11,0,0
2007-02-25,12,0,11,0,0
2007-03-04,29,0,11,12,0
2007-03-11,11,0,14,0,0
2007-03-18,11,0,16,0,0
2007-03-25,11,0,11,0,0
2007-04-01,13,0,12,0,0
2007-04-08,11,0,11,0,0
2007-04-15,11,0,11,0,0
2007-04-22,11,0,11,0,0
2007-04-29,10,0,10,0,0
2007-05-06,10,0,10,0,0
2007-05-13,14,0,9,9,0
2007-05-20,13,0,9,0,0
2007-05-27,9,0,9,0,0
2007-06-03,31,0,10,0,0
2007-06-10,13,0,10,0,0
2007-06-17,10,0,10,0,0
2007-06-24,13,0,9,0,0
2007-07-01,10,0,10,0,0
2007-07-08,10,0,10,0,0
2007-07-15,11,0,11,0,0
2007-07-22,9,0,15,0,0
2007-07-29,9,0,18,0,0
2007-08-05,9,0,17,0,0
2007-08-12,8,0,8,0,0
2007-08-19,8,0,8,0,0
2007-08-26,8,0,8,0,0
2007-09-02,23,0,14,0,0
2007-09-09,11,0,25,0,0
2007-09-16,11,0,17,0,0
2007-09-23,11,0,17,0,0
2007-09-30,8,0,17,0,0
2007-10-07,10,0,20,0,0
2007-10-14,8,0,8,0,0
2007-10-21,8,0,8,0,0
2007-10-28,12,0,17,0,0
2007-11-04,14,0,16,0,0
2007-11-11,10,0,8,0,0
2007-11-18,11,0,15,0,0
2007-11-25,7,0,7,0,0
2007-12-02,8,0,12,0,0
2007-12-09,9,0,17,0,0
2007-12-16,9,0,0,0,0
2007-12-23,27,0,0,0,0
2007-12-30,45,0,0,0,0
2008-01-06,62,0,0,0,0
2008-01-13,100,0,0,0,0
2008-01-20,31,0,0,0,0
2008-01-27,33,0,8,0,0
2008-02-03,24,0,10,0,0
2008-02-10,35,0,11,0,0
2008-02-17,15,0,13,0,0
2008-02-24,20,0,7,0,0
