Semana,febre,manchas vermelhas pelo corpo,moleza,nausea,perda de paladar e apetite
2004-01-04,0,0,83,0,0
2004-01-11,0,0,69,0,0
2004-01-18,0,0,69,0,0
2004-01-25,0,0,0,0,0
2004-02-01,68,0,0,0,0
2004-02-08,0,0,0,0,0
2004-02-15,0,0,0,0,0
2004-02-22,0,0,0,0,0
2004-02-29,0,0,0,0,0
2004-03-07,0,0,0,0,0
2004-03-14,0,0,0,0,0
2004-03-21,97,0,0,0,0
2004-03-28,41,0,43,0,0
2004-04-04,51,0,0,0,0
2004-04-11,61,0,0,0,0
2004-04-18,72,0,0,0,0
2004-04-25,0,0,0,0,0
2004-05-02,0,0,0,0,0
2004-05-09,0,0,0,0,0
2004-05-16,0,0,40,0,0
2004-05-23,0,0,39,0,0
2004-05-30,38,0,0,0,0
2004-06-06,38,0,0,0,0
2004-06-13,38,0,0,0,0
2004-06-20,38,0,0,0,0
2004-06-27,38,0,0,0,0
2004-07-04,39,0,0,0,0
2004-07-11,0,0,0,0,0
2004-07-18,0,0,0,0,0
2004-07-25,0,0,39,0,0
2004-08-01,0,0,31,0,0
2004-08-08,0,0,31,0,0
2004-08-15,0,0,31,0,0
2004-08-22,0,0,31,0,0
2004-08-29,32,0,32,0,0
2004-09-05,0,0,55,0,0
2004-09-12,0,0,77,0,0
2004-09-19,0,0,100,0,0
2004-09-26,0,0,0,0,0
2004-10-03,0,0,0,0,0
2004-10-10,0,0,0,0,0
2004-10-17,0,0,0,0,0
2004-10-24,0,0,0,0,0
2004-10-31,0,0,0,0,0
2004-11-07,0,0,0,0,0
2004-11-14,0,0,36,0,0
2004-11-21,0,0,0,0,0
2004-11-28,0,0,0,0,0
2004-12-05,0,0,0,0,0
2004-12-12,0,0,0,0,0
2004-12-19,0,0,0,0,0
2004-12-26,0,0,0,0,0
2005-01-02,0,0,0,0,0
2005-01-09,0,0,0,0,0
2005-01-16,0,0,0,0,0
2005-01-23,0,0,0,0,0
2005-01-30,0,0,32,0,0
2005-02-06,0,0,0,0,0
2005-02-13,25,0,0,0,0
2005-02-20,25,0,0,0,0
2005-02-27,25,0,0,0,0
2005-03-06,24,0,0,0,0
2005-03-13,22,0,22,0,0
2005-03-20,36,0,24,0,0
2005-03-27,49,0,27,0,0
2005-04-03,63,0,30,0,0
2005-04-10,21,0,21,0,0
2005-04-17,24,0,31,0,0
2005-04-24,22,0,41,0,0
2005-05-01,22,0,33,0,0
2005-05-08,42,0,33,0,0
2005-05-15,21,0,33,0,0
2005-05-22,19,0,33,0,0
2005-05-29,19,0,20,0,0
2005-06-05,19,0,19,0,0
2005-06-12,19,0,19,0,0
2005-06-19,19,0,19,0,0
2005-06-26,19,0,20,0,0
2005-07-03,20,0,20,0,0
2005-07-10,20,0,22,0,0
2005-07-17,21,0,0,0,0
2005-07-24,21,0,0,0,0
2005-07-31,18,0,0,0,0
2005-08-07,18,0,0,0,0
2005-08-14,17,0,0,17,0
2005-08-21,15,0,0,0,0
2005-08-28,15,0,0,0,0
2005-09-04,15,0,37,0,0
2005-09-11,15,0,15,0,0
2005-09-18,15,0,16,0,0
2005-09-25,15,0,16,0,0
2005-10-02,16,0,16,0,0
2005-10-09,17,0,17,0,0
2005-10-16,30,0,21,0,0
2005-10-23,60,0,26,0,0
2005-10-30,32,0,30,0,0
2005-11-06,25,0,14,0,0
2005-11-13,39,0,14,0,0
2005-11-20,21,0,14,0,0
2005-11-27,14,0,15,0,0
2005-12-04,0,0,16,0,0
2005-12-11,0,0,16,0,0
2005-12-18,0,0,16,0,0
2005-12-25,0,0,17,0,0
2006-01-01,0,0,18,0,0
2006-01-08,16,0,13,0,0
2006-01-15,14,0,13,0,0
2006-01-22,14,0,13,0,0
2006-01-29,14,0,13,0,0
2006-02-05,12,0,13,0,0
2006-02-12,12,0,11,0,0
2006-02-19,13,0,11,0,0
