Semana,febre,manchas vermelhas pelo corpo,moleza,nausea,perda de paladar e apetite
2004-01-04,49,0,0,0,0
2004-01-11,39,0,0,0,0
2004-01-18,39,0,0,0,0
2004-01-25,39,0,0,0,0
2004-02-01,42,0,42,0,0
2004-02-08,57,0,37,0,0
2004-02-15,72,0,37,0,0
2004-02-22,46,0,0,0,0
2004-02-29,31,0,0,0,0
2004-03-07,31,0,0,0,0
2004-03-14,31,0,0,0,0
2004-03-21,56,0,0,0,0
2004-03-28,94,0,0,0,0
2004-04-04,100,0,35,0,0
2004-04-11,99,0,27,0,0
2004-04-18,42,0,27,0,0
2004-04-25,27,0,68,0,0
2004-05-02,28,0,27,0,0
2004-05-09,68,0,27,0,0
2004-05-16,52,0,27,0,0
2004-05-23,25,0,51,0,0
2004-05-30,26,0,28,0,0
2004-06-06,28,0,28,0,0
2004-06-13,28,0,27,0,0
2004-06-20,30,0,37,0,0
2004-06-27,32,0,34,0,0
2004-07-04,34,0,64,0,0
2004-07-11,37,0,36,0,0
2004-07-18,44,0,40,0,0
2004-07-25,51,0,43,31,0
2004-08-01,59,0,47,0,0
2004-08-08,55,0,50,0,0
2004-08-15,55,0,54,0,0
2004-08-22,68,0,26,0,0
2004-08-29,81,0,26,0,0
2004-09-05,29,0,39,0,0
2004-09-12,25,0,51,0,0
2004-09-19,25,0,25,0,0
2004-09-26,49,0,37,25,0
2004-10-03,25,0,49,0,0
2004-10-10,61,0,61,0,0
2004-10-17,25,0,51,0,0
2004-10-24,26,0,28,0,0
2004-10-31,27,0,27,0,0
2004-11-07,35,0,28,0,0
2004-11-14,36,0,30,0,0
2004-11-21,36,0,24,0,0
2004-11-28,45,0,25,0,0
2004-12-05,53,0,26,0,0
2004-12-12,59,0,24,0,0
2004-12-19,65,0,24,0,0
2004-12-26,72,0,24,0,0
2005-01-02,78,0,24,0,0
2005-01-09,24,0,24,0,0
2005-01-16,24,0,22,0,0
2005-01-23,26,0,22,0,0
2005-01-30,28,0,22,0,0
2005-02-06,29,0,22,0,0
2005-02-13,22,0,22,0,0
2005-02-20,23,0,46,0,0
2005-02-27,21,0,31,0,0
2005-03-06,29,0,19,0,0
2005-03-13,38,0,20,0,0
2005-03-20,34,0,21,0,0
2005-03-27,34,0,26,0,0
2005-04-03,26,0,31,0,0
2005-04-10,35,0,36,0,0
2005-04-17,19,0,37,0,0
2005-04-24,35,0,42,0,0
2005-05-01,26,0,47,0,0
2005-05-08,26,0,53,0,0
2005-05-15,83,0,17,0,0
2005-05-22,37,0,18,0,0
2005-05-29,26,0,44,17,0
2005-06-05,17,0,18,0,0
2005-06-12,18,0,18,0,0
2005-06-19,20,0,39,0,0
2005-06-26,18,0,16,0,0
2005-07-03,17,0,16,0,0
2005-07-10,33,0,16,0,0
2005-07-17,50,0,16,0,0
2005-07-24,16,0,19,0,0
2005-07-31,54,0,21,16,0
2005-08-07,29,0,24,0,0
2005-08-14,14,0,27,0,0
2005-08-21,30,0,15,0,0
2005-08-28,19,0,13,0,0
2005-09-04,65,0,13,0,0
2005-09-11,24,0,12,0,0
2005-09-18,18,0,15,0,0
2005-09-25,23,0,17,12,0
