Date,dor nos ossos,tontura,vomito,aumento do tamanho do baco,aumento do tamanho do figado
2004-01-04,0,100,0,0,0
2004-01-11,0,0,0,0,0
2004-01-18,0,0,0,0,0
2004-01-25,0,0,0,0,0
2004-02-01,0,0,0,0,0
2004-02-08,0,0,0,0,0
2004-02-15,0,0,0,0,0
2004-02-22,0,0,0,0,0
2004-02-29,0,0,0,0,0
2004-03-07,0,0,0,0,0
2004-03-14,0,0,0,0,0
2004-03-21,0,0,0,0,0
2004-03-28,0,0,0,0,0
2004-04-04,0,0,0,0,0
2004-04-11,0,0,0,0,0
2004-04-18,0,0,0,0,0
2004-04-25,0,0,0,0,0
2004-05-02,0,0,0,0,0
2004-05-09,0,0,0,0,0
2004-05-16,0,0,0,0,0
2004-05-23,0,0,0,0,0
2004-05-30,0,0,0,0,0
2004-06-06,0,0,0,0,0
2004-06-13,0,0,0,0,0
2004-06-20,0,0,0,0,0
2004-06-27,0,0,0,0,0
2004-07-04,0,0,67,0,0
2004-07-11,0,0,0,0,0
2004-07-18,0,0,0,0,0
2004-07-25,0,0,0,0,0
2004-08-01,0,0,0,0,0
2004-08-08,0,0,0,0,0
2004-08-15,0,0,56,0,0
2004-08-22,0,0,0,0,0
2004-08-29,0,56,0,0,0
2004-09-05,0,0,0,0,0
2004-09-12,0,0,0,0,0
2004-09-19,0,0,0,0,0
2004-09-26,0,0,0,0,0
2004-10-03,0,0,0,0,0
2004-10-10,0,0,0,0,0
2004-10-17,0,0,0,0,0
2004-10-24,0,0,0,0,0
2004-10-31,0,0,0,0,0
2004-11-07,0,0,0,0,0
2004-11-14,0,0,64,0,0
2004-11-21,0,0,52,0,0
2004-11-28,0,0,0,0,0
2004-12-05,0,0,0,0,0
2004-12-12,0,0,0,0,0
2004-12-19,0,0,0,0,0
2004-12-26,0,0,0,0,0
2005-01-02,0,0,0,0,0
2005-01-09,0,0,0,0,0
2005-01-16,0,0,0,0,0
2005-01-23,0,0,50,0,0
2005-01-30,0,55,0,0,0
2005-02-06,0,0,0,0,0
2005-02-13,0,0,0,0,0
2005-02-20,0,0,0,0,0
2005-02-27,0,0,0,0,0
2005-03-06,0,0,41,0,0
2005-03-13,0,0,0,0,0
2005-03-20,0,0,0,0,0
2005-03-27,0,0,0,0,0
2005-04-03,0,0,0,0,0
2005-04-10,0,0,0,0,0
2005-04-17,0,0,0,0,0
2005-04-24,0,0,0,0,0
2005-05-01,0,0,0,0,0
2005-05-08,0,0,0,0,0
2005-05-15,0,0,0,0,0
2005-05-22,0,0,0,0,0
2005-05-29,0,0,0,0,0
2005-06-05,0,0,0,0,0
2005-06-12,0,0,0,0,0
2005-06-19,0,0,0,0,0
2005-06-26,0,39,0,0,0
2005-07-03,0,0,37,0,0
2005-07-10,0,0,0,0,0
2005-07-17,0,0,0,0,0
2005-07-24,0,0,0,0,0
2005-07-31,0,0,0,0,0
2005-08-07,0,0,0,0,0
2005-08-14,0,0,0,0,0
2005-08-21,0,0,0,0,0
2005-08-28,0,27,0,0,0
2005-09-04,0,0,0,0,0
2005-09-11,0,0,0,0,0
2005-09-18,0,0,0,0,0
2005-09-25,0,0,25,0,0
2005-10-02,0,0,0,0,0
2005-10-09,0,0,0,0,0
2005-10-16,0,0,0,0,0
2005-10-23,0,0,0,0,0
2005-10-30,0,22,0,0,0
2005-11-06,0,22,0,0,0
2005-11-13,0,23,22,0,0
2005-11-20,0,23,20,0,0
2005-11-27,0,23,21,0,0
2005-12-04,0,23,22,0,0
2005-12-11,0,0,23,0,0
2005-12-18,0,0,25,0,0
2005-12-25,0,0,28,0,0
2006-01-01,0,0,22,0,0
2006-01-08,0,0,22,0,0
2006-01-15,0,0,22,0,0
2006-01-22,0,22,22,0,0
2006-01-29,0,22,21,0,0
2006-02-05,0,23,21,0,0
2006-02-12,0,24,0,0,0
2006-02-19,0,25,0,0,0
2006-02-26,0,26,0,0,0
2006-03-05,0,18,0,0,0
2006-03-12,0,18,0,0,0
2006-03-19,0,18,0,0,0
2006-03-26,0,18,0,0,0
2006-04-02,0,18,0,0,0
2006-04-09,0,18,20,0,0
2006-04-16,0,18,16,0,0
2006-04-23,0,22,16,0,0
2006-04-30,0,25,17,0,0
2006-05-07,0,15,15,0,0
2006-05-14,0,15,15,0,0
2006-05-21,0,15,15,0,0
2006-05-28,0,0,16,0,0
2006-06-04,0,0,17,0,0
2006-06-11,0,0,18,0,0
2006-06-18,0,0,16,0,0
2006-06-25,0,0,16,0,0
2006-07-02,0,0,16,0,0
2006-07-09,0,0,16,0,0
2006-07-16,0,0,0,0,0
2006-07-23,0,0,0,0,0
2006-07-30,0,0,0,0,0
2006-08-06,0,0,0,0,0
2006-08-13,0,0,0,0,0
2006-08-20,0,13,26,0,0
2006-08-27,0,12,13,0,0
2006-09-03,0,12,12,0,0
2006-09-10,0,12,12,0,0
2006-09-17,0,12,12,0,0
2006-09-24,0,12,12,0,0
2006-10-01,0,12,12,0,0
2006-10-08,0,11,26,0,0
2006-10-15,0,11,11,0,0
2006-10-22,0,11,11,0,0
2006-10-29,0,0,11,0,0
2006-11-05,0,0,11,0,0
2006-11-12,0,0,11,0,0
2006-11-19,0,0,11,0,0
2006-11-26,0,0,11,0,0
2006-12-03,0,11,12,0,0
2006-12-10,0,11,12,0,0
2006-12-17,0,24,12,0,0
2006-12-24,0,13,0,0,0
2006-12-31,0,13,0,0,0
2007-01-07,0,0,0,0,0
2007-01-14,0,34,70,0,0
2007-01-21,0,51,34,0,0
2007-01-28,0,67,34,0,0
2007-02-04,0,0,34,0,0
2007-02-11,0,0,34,0,0
2007-02-18,0,0,43,0,0
2007-02-25,0,0,51,0,0
2007-03-04,0,0,60,0,0
2007-03-11,0,29,28,0,0
2007-03-18,0,28,28,0,0
2007-03-25,0,28,28,0,0
2007-04-01,0,28,28,0,0
2007-04-08,0,28,28,0,0
2007-04-15,0,28,27,0,0
2007-04-22,0,34,27,0,0
2007-04-29,0,41,24,0,0
2007-05-06,0,24,24,0,0
2007-05-13,0,24,24,0,0
2007-05-20,0,25,24,0,0
2007-05-27,0,25,25,0,0
2007-06-03,0,25,25,0,0
2007-06-10,0,29,26,0,0
2007-06-17,0,33,26,0,0
2007-06-24,0,27,27,0,0
2007-07-01,0,27,59,0,0
2007-07-08,0,27,40,0,0
2007-07-15,0,57,30,0,0
2007-07-22,0,88,30,0,0
2007-07-29,0,56,38,0,0
2007-08-05,0,27,46,0,0
2007-08-12,0,27,54,0,0
2007-08-19,0,26,26,0,0
2007-08-26,0,23,25,0,0
2007-09-02,0,23,24,0,0
2007-09-09,0,23,24,0,0
2007-09-16,0,23,46,0,0
2007-09-23,0,23,24,0,0
2007-09-30,0,24,24,0,0
2007-10-07,0,25,25,0,0
2007-10-14,0,23,24,0,0
2007-10-21,0,49,24,0,0
2007-10-28,0,23,25,0,0
2007-11-04,0,23,25,0,0
2007-11-11,0,23,23,0,0
2007-11-18,0,68,32,0,0
2007-11-25,0,24,42,0,0
2007-12-02,0,26,52,0,0
