Semana,febre,manchas vermelhas pelo corpo,moleza,nausea,perda de paladar e apetite
2004-01-04,0,0,0,0,0
2004-01-11,0,0,0,0,0
2004-01-18,0,0,0,0,0
2004-01-25,0,0,0,0,0
2004-02-01,61,0,0,0,0
2004-02-08,100,0,0,0,0
2004-02-15,54,0,51,0,0
2004-02-22,57,0,0,0,0
2004-02-29,61,0,0,0,0
2004-03-07,65,0,0,0,0
2004-03-14,68,0,0,0,0
2004-03-21,0,0,0,0,0
2004-03-28,0,0,0,0,0
2004-04-04,0,0,53,0,0
2004-04-11,0,0,42,0,0
2004-04-18,0,0,42,0,0
2004-04-25,42,0,42,0,0
2004-05-02,38,0,55,0,0
2004-05-09,38,0,67,0,0
2004-05-16,38,0,80,0,0
2004-05-23,38,0,42,0,0
2004-05-30,39,0,42,0,0
2004-06-06,39,0,42,0,0
2004-06-13,38,0,42,0,0
2004-06-20,51,0,46,0,0
2004-06-27,47,0,50,0,0
2004-07-04,47,0,56,0,0
2004-07-11,58,0,62,0,0
2004-07-18,50,0,0,0,0
2004-07-25,48,0,0,0,0
2004-08-01,48,0,0,0,0
2004-08-08,39,0,0,0,0
2004-08-15,39,0,0,78,0
2004-08-22,38,0,0,0,0
2004-08-29,38,0,40,0,0
2004-09-05,38,0,41,0,0
2004-09-12,38,0,42,0,0
2004-09-19,55,0,42,0,0
2004-09-26,73,0,43,0,0
2004-10-03,36,0,44,0,0
2004-10-10,51,0,45,0,0
2004-10-17,66,0,0,0,0
2004-10-24,82,0,0,0,0
2004-10-31,37,0,0,0,0
2004-11-07,41,0,0,0,0
2004-11-14,46,0,0,0,0
2004-11-21,50,0,0,32,0
2004-11-28,60,0,0,0,0
2004-12-05,70,0,35,0,0
2004-12-12,41,0,0,0,0
2004-12-19,41,0,0,0,0
2004-12-26,38,0,0,0,0
2005-01-02,38,0,0,0,0
2005-01-09,38,0,0,0,0
2005-01-16,38,0,0,0,0
2005-01-23,39,0,0,0,0
2005-01-30,35,0,0,0,0
2005-02-06,35,0,0,0,0
2005-02-13,35,0,33,0,0
2005-02-20,31,0,32,0,0
2005-02-27,31,0,32,0,0
2005-03-06,32,0,32,0,0
2005-03-13,32,0,32,0,0
2005-03-20,32,0,32,0,0
2005-03-27,42,0,0,0,0
2005-04-03,52,0,0,0,0
2005-04-10,61,0,0,0,0
2005-04-17,53,0,0,0,0
2005-04-24,53,0,0,0,0
2005-05-01,53,0,0,0,0
2005-05-08,28,0,27,0,0
2005-05-15,28,0,42,0,0
2005-05-22,29,0,29,0,0
2005-05-29,59,0,28,0,0
2005-06-05,28,0,28,0,0
2005-06-12,39,0,28,0,0
2005-06-19,49,0,0,0,0
2005-06-26,60,0,0,0,0
2005-07-03,29,0,0,0,0
2005-07-10,29,0,0,0,0
2005-07-17,35,0,0,0,0
2005-07-24,40,0,0,0,0
2005-07-31,45,0,0,0,0
2005-08-07,51,0,0,0,0
2005-08-14,50,0,0,0,0
2005-08-21,50,0,49,0,0
2005-08-28,20,0,20,0,0
2005-09-04,20,0,20,0,0
2005-09-11,18,0,20,0,0
2005-09-18,18,0,20,18,0
2005-09-25,39,0,20,0,0
2005-10-02,53,0,18,0,0
2005-10-09,47,0,57,0,0
2005-10-16,45,0,27,0,0
2005-10-23,27,0,35,0,0
2005-10-30,77,0,17,0,0
2005-11-06,58,0,19,19,0
2005-11-13,62,0,52,0,0
2005-11-20,38,0,15,0,0
2005-11-27,50,0,14,0,0
2005-12-04,31,0,15,0,0
2005-12-11,15,0,15,0,0
2005-12-18,15,0,15,0,0
2005-12-25,15,0,17,0,0
2006-01-01,15,0,13,0,0
2006-01-08,28,0,13,0,0
2006-01-15,41,0,13,0,0
2006-01-22,53,0,13,0,0
2006-01-29,26,0,14,0,0
2006-02-05,26,0,15,0,0
2006-02-12,25,0,15,0,0
2006-02-19,13,0,16,0,0
2006-02-26,34,0,17,0,0
2006-03-05,24,0,11,0,0
2006-03-12,45,0,11,0,0
2006-03-19,33,0,33,0,0
2006-03-26,21,0,12,0,0
2006-04-02,16,0,12,0,0
2006-04-09,30,0,12,0,0
2006-04-16,11,0,17,0,0
2006-04-23,11,0,10,0,0
2006-04-30,21,0,12,0,0
2006-05-07,31,0,14,0,0
