Semana,febre,manchas vermelhas pelo corpo,moleza,nausea,perda de paladar e apetite
2004-01-04,0,0,0,0,0
2004-01-11,0,0,0,0,0
2004-01-18,0,0,0,0,0
2004-01-25,0,0,0,0,0
2004-02-01,0,0,0,0,0
2004-02-08,0,0,0,0,0
2004-02-15,0,0,0,0,0
2004-02-22,0,0,0,0,0
2004-02-29,0,0,0,0,0
2004-03-07,0,0,0,0,0
2004-03-14,0,0,0,0,0
2004-03-21,0,0,0,0,0
2004-03-28,0,0,0,0,0
2004-04-04,0,0,0,0,0
2004-04-11,0,0,100,0,0
2004-04-18,0,0,49,0,0
2004-04-25,0,0,49,0,0
2004-05-02,0,0,49,0,0
2004-05-09,0,0,49,0,0
2004-05-16,0,0,0,0,0
2004-05-23,44,0,0,0,0
2004-05-30,0,0,0,0,0
2004-06-06,0,0,0,0,0
2004-06-13,0,0,0,0,0
2004-06-20,0,0,0,0,0
2004-06-27,0,0,0,22,0
2004-07-04,0,0,0,0,0
2004-07-11,0,0,0,0,0
2004-07-18,0,0,0,0,0
2004-07-25,0,0,0,0,0
2004-08-01,18,0,18,0,0
2004-08-08,18,0,18,0,0
2004-08-15,18,0,18,0,0
2004-08-22,18,0,16,0,0
2004-08-29,17,0,16,0,0
2004-09-05,15,0,19,0,0
2004-09-12,15,0,16,0,0
2004-09-19,15,0,15,0,0
2004-09-26,14,0,0,0,0
2004-10-03,0,0,0,0,0
2004-10-10,0,0,0,0,0
2004-10-17,0,0,0,14,0
2004-10-24,0,0,0,0,0
2004-10-31,0,0,0,0,0
2004-11-07,0,0,45,0,0
2004-11-14,18,0,0,0,0
2004-11-21,15,0,0,0,0
2004-11-28,15,0,0,0,0
2004-12-05,15,0,0,0,0
2004-12-12,16,0,0,0,0
2004-12-19,16,0,0,0,0
2004-12-26,16,0,0,0,0
2005-01-02,16,0,0,0,0
2005-01-09,16,0,0,0,0
2005-01-16,16,0,0,0,0
2005-01-23,16,0,17,0,0
2005-01-30,18,0,21,0,0
2005-02-06,20,0,26,0,0
2005-02-13,22,0,30,0,0
2005-02-20,14,0,14,0,0
2005-02-27,14,0,14,0,0
2005-03-06,0,0,14,0,0
2005-03-13,0,0,13,0,0
2005-03-20,0,0,14,0,0
2005-03-27,0,0,0,0,0
2005-04-03,0,0,0,0,0
2005-04-10,13,0,0,0,0
2005-04-17,14,0,0,0,0
2005-04-24,12,0,0,0,0
2005-05-01,12,0,0,0,0
2005-05-08,18,0,12,0,0
2005-05-15,11,0,15,0,0
2005-05-22,11,0,18,0,0
2005-05-29,12,0,12,0,0
2005-06-05,12,0,12,0,0
2005-06-12,12,0,13,0,0
2005-06-19,13,0,15,0,0
2005-06-26,14,0,14,0,0
2005-07-03,13,0,13,0,0
2005-07-10,13,0,13,0,0
2005-07-17,13,0,13,0,0
2005-07-24,13,0,13,0,0
2005-07-31,13,0,13,0,0
2005-08-07,12,0,12,0,0
2005-08-14,12,0,13,0,0
2005-08-21,14,0,14,0,0
2005-08-28,24,0,13,0,0
2005-09-04,12,0,13,0,0
2005-09-11,12,0,11,0,0
2005-09-18,17,0,11,0,0
2005-09-25,23,0,11,0,0
2005-10-02,24,0,11,0,0
2005-10-09,24,0,11,0,0
2005-10-16,33,0,11,0,0
2005-10-23,11,0,11,0,0
2005-10-30,23,0,15,0,0
2005-11-06,25,0,18,0,0
2005-11-13,11,0,22,0,0
2005-11-20,21,0,10,0,0
2005-11-27,11,0,11,0,0
2005-12-04,11,0,0,0,0
2005-12-11,12,0,0,0,0
2005-12-18,13,0,0,0,0
2005-12-25,12,0,0,0,0
2006-01-01,12,0,0,0,0
2006-01-08,11,0,0,0,0
2006-01-15,11,0,0,0,0
2006-01-22,11,0,10,0,0
2006-01-29,10,0,10,0,0
2006-02-05,10,0,10,0,0
2006-02-12,10,0,10,10,0
2006-02-19,13,0,11,0,0
2006-02-26,15,0,12,0,0
2006-03-05,18,0,19,0,0
2006-03-12,13,0,9,0,0
2006-03-19,9,0,0,0,0
2006-03-26,8,0,0,0,0
2006-04-02,17,0,0,0,0
2006-04-09,15,0,0,0,0
2006-04-16,9,0,0,9,0
2006-04-23,16,0,0,0,0
2006-04-30,22,0,9,0,0
2006-05-07,26,0,8,0,0
