Date,febre,manchas vermelhas pelo corpo,moleza,nausea,perda de paladar e apetite
2004-01-04,0,0,0,0,0
2004-01-11,0,0,0,0,0
2004-01-18,0,0,0,0,0
2004-01-25,0,0,0,0,0
2004-02-01,0,0,0,0,0
2004-02-08,0,0,0,0,0
2004-02-15,0,0,0,0,0
2004-02-22,0,0,0,0,0
2004-02-29,0,0,0,0,0
2004-03-07,0,0,0,0,0
2004-03-14,0,0,0,0,0
2004-03-21,0,0,0,0,0
2004-03-28,0,0,63,0,0
2004-04-04,0,0,58,0,0
2004-04-11,0,0,58,0,0
2004-04-18,0,0,58,0,0
2004-04-25,0,0,58,0,0
2004-05-02,0,0,58,0,0
2004-05-09,0,0,0,0,0
2004-05-16,0,0,0,0,0
2004-05-23,0,0,0,0,0
2004-05-30,0,0,0,0,0
2004-06-06,0,0,0,0,0
2004-06-13,0,0,0,0,0
2004-06-20,0,0,0,0,0
2004-06-27,0,0,0,0,0
2004-07-04,0,0,0,0,0
2004-07-11,0,0,0,0,0
2004-07-18,0,0,0,0,0
2004-07-25,0,0,0,58,0
2004-08-01,0,0,52,0,0
2004-08-08,0,0,49,0,0
2004-08-15,0,0,49,0,0
2004-08-22,0,0,49,0,0
2004-08-29,0,0,46,0,0
2004-09-05,0,0,46,0,0
2004-09-12,0,0,46,0,0
2004-09-19,0,0,46,0,0
2004-09-26,100,0,0,0,0
2004-10-03,50,0,0,0,0
2004-10-10,50,0,0,0,0
2004-10-17,50,0,0,0,0
2004-10-24,50,0,0,0,0
2004-10-31,50,0,0,0,0
2004-11-07,50,0,0,0,0
2004-11-14,50,0,0,0,0
2004-11-21,50,0,43,0,0
2004-11-28,51,0,42,0,0
2004-12-05,51,0,0,0,0
2004-12-12,51,0,0,0,0
2004-12-19,57,0,0,0,0
2004-12-26,0,0,0,0,0
2005-01-02,0,0,0,0,0
2005-01-09,0,0,0,0,0
2005-01-16,0,0,0,0,0
2005-01-23,0,0,0,0,0
2005-01-30,0,0,0,0,0
2005-02-06,0,0,0,0,0
2005-02-13,0,0,0,0,0
2005-02-20,0,0,0,0,0
2005-02-27,0,0,0,0,0
2005-03-06,0,0,0,0,0
2005-03-13,0,0,0,0,0
2005-03-20,0,0,0,0,0
2005-03-27,28,0,0,0,0
2005-04-03,29,0,0,0,0
2005-04-10,30,0,0,0,0
2005-04-17,32,0,0,0,0
2005-04-24,0,0,26,0,0
2005-05-01,0,0,28,0,0
2005-05-08,0,0,30,0,0
2005-05-15,0,0,30,0,0
2005-05-22,0,0,31,0,0
2005-05-29,0,0,28,0,0
2005-06-05,26,0,28,0,0
2005-06-12,0,0,28,0,0
2005-06-19,0,0,28,0,0
2005-06-26,0,0,0,0,0
2005-07-03,0,0,0,0,0
2005-07-10,0,0,0,0,0
2005-07-17,28,0,0,0,0
2005-07-24,0,0,0,0,0
2005-07-31,0,0,0,0,0
2005-08-07,0,0,23,0,0
2005-08-14,0,0,35,0,0
2005-08-21,0,0,48,0,0
2005-08-28,0,0,38,0,0
2005-09-04,0,0,38,0,0
2005-09-11,0,0,38,0,0
2005-09-18,21,0,20,0,0
2005-09-25,24,0,20,0,0
2005-10-02,27,0,20,0,0
2005-10-09,30,0,20,0,0
2005-10-16,33,0,20,0,0
2005-10-23,36,0,21,0,0
2005-10-30,22,0,22,0,0
2005-11-06,22,0,22,0,0
2005-11-13,21,0,21,0,0
2005-11-20,20,0,21,0,0
2005-11-27,20,0,0,0,0
2005-12-04,21,0,0,0,0
2005-12-11,23,0,0,0,0
2005-12-18,24,0,0,0,0
2005-12-25,25,0,0,0,0
2006-01-01,27,0,0,0,0
2006-01-08,44,0,0,0,0
2006-01-15,21,0,0,0,0
2006-01-22,21,0,0,0,0
2006-01-29,19,0,0,0,0
2006-02-05,19,0,0,0,0
2006-02-12,14,0,0,0,0
2006-02-19,14,0,0,0,0
2006-02-26,14,0,19,0,0
2006-03-05,14,0,13,0,0
2006-03-12,14,0,13,0,0
2006-03-19,20,0,13,0,0
2006-03-26,25,0,13,0,0
2006-04-02,13,0,13,0,0
2006-04-09,21,0,13,0,0
2006-04-16,30,0,13,0,0
2006-04-23,24,0,12,0,0
2006-04-30,24,0,13,0,0
2006-05-07,24,0,22,0,0
2006-05-14,13,0,30,0,0
