Date,falta de apetite,machas rosadas no tronco
2004-01-04,0.0,0.0
2004-01-11,0.0,0.0
2004-01-18,0.0,0.0
2004-01-25,0.0,0.0
2004-02-01,0.0,0.0
2004-02-08,0.0,0.0
2004-02-15,0.0,0.0
2004-02-22,0.0,0.0
2004-02-29,0.0,0.0
2004-03-07,0.0,0.0
2004-03-14,0.0,0.0
2004-03-21,0.0,0.0
2004-03-28,0.0,0.0
2004-04-04,0.0,0.0
2004-04-11,0.0,0.0
2004-04-18,0.0,0.0
2004-04-25,0.0,0.0
2004-05-02,0.0,0.0
2004-05-09,0.0,0.0
2004-05-16,0.0,0.0
2004-05-23,0.0,0.0
2004-05-30,0.0,0.0
2004-06-06,0.0,0.0
2004-06-13,0.0,0.0
2004-06-20,0.0,0.0
2004-06-27,0.0,0.0
2004-07-04,0.0,0.0
2004-07-11,0.0,0.0
2004-07-18,0.0,0.0
2004-07-25,0.0,0.0
2004-08-01,0.0,0.0
2004-08-08,0.0,0.0
2004-08-15,0.0,0.0
2004-08-22,0.0,0.0
2004-08-29,0.0,0.0
2004-09-05,0.0,0.0
2004-09-12,0.0,0.0
2004-09-19,0.0,0.0
2004-09-26,0.0,0.0
2004-10-03,0.0,0.0
2004-10-10,0.0,0.0
2004-10-17,0.0,0.0
2004-10-24,0.0,0.0
2004-10-31,0.0,0.0
2004-11-07,0.0,0.0
2004-11-14,0.0,0.0
2004-11-21,0.0,0.0
2004-11-28,0.0,0.0
2004-12-05,0.0,0.0
2004-12-12,0.0,0.0
2004-12-19,0.0,0.0
2004-12-26,0.0,0.0
2005-01-02,0.0,0.0
2005-01-09,0.0,0.0
2005-01-16,0.0,0.0
2005-01-23,0.0,0.0
2005-01-30,0.0,0.0
2005-02-06,0.0,0.0
2005-02-13,0.0,0.0
2005-02-20,0.0,0.0
2005-02-27,0.0,0.0
2005-03-06,0.0,0.0
2005-03-13,0.0,0.0
2005-03-20,0.0,0.0
2005-03-27,0.0,0.0
2005-04-03,0.0,0.0
2005-04-10,0.0,0.0
2005-04-17,0.0,0.0
2005-04-24,0.0,0.0
2005-05-01,0.0,0.0
2005-05-08,0.0,0.0
2005-05-15,0.0,0.0
2005-05-22,0.0,0.0
2005-05-29,0.0,0.0
2005-06-05,0.0,0.0
2005-06-12,0.0,0.0
2005-06-19,0.0,0.0
2005-06-26,0.0,0.0
2005-07-03,0.0,0.0
2005-07-10,0.0,0.0
2005-07-17,0.0,0.0
2005-07-24,0.0,0.0
2005-07-31,0.0,0.0
2005-08-07,0.0,0.0
2005-08-14,0.0,0.0
2005-08-21,0.0,0.0
2005-08-28,0.0,0.0
2005-09-04,0.0,0.0
2005-09-11,0.0,0.0
2005-09-18,76.0,0.0
2005-09-25,0.0,0.0
2005-10-02,0.0,0.0
2005-10-09,0.0,0.0
2005-10-16,0.0,0.0
2005-10-23,0.0,0.0
2005-10-30,0.0,0.0
2005-11-06,0.0,0.0
2005-11-13,0.0,0.0
2005-11-20,72.0,0.0
2005-11-27,75.0,0.0
2005-12-04,78.0,0.0
2005-12-11,85.0,0.0
2005-12-18,93.0,0.0
2005-12-25,100.0,0.0
2006-01-01,83.0,0.0
2006-01-08,0.0,0.0
2006-01-15,0.0,0.0
2006-01-22,0.0,0.0
2006-01-29,0.0,0.0
2006-02-05,0.0,0.0
2006-02-12,0.0,0.0
2006-02-19,0.0,0.0
2006-02-26,0.0,0.0
2006-03-05,0.0,0.0
2006-03-12,0.0,0.0
2006-03-19,0.0,0.0
2006-03-26,0.0,0.0
2006-04-02,0.0,0.0
2006-04-09,0.0,0.0
2006-04-16,0.0,0.0
2006-04-23,0.0,0.0
2006-04-30,0.0,0.0
2006-05-07,0.0,0.0
2006-05-14,63.0,0.0
2006-05-21,0.0,0.0
2006-05-28,0.0,0.0
2006-06-04,0.0,0.0
2006-06-11,0.0,0.0
2006-06-18,0.0,0.0
2006-06-25,0.0,0.0
2006-07-02,0.0,0.0
2006-07-09,0.0,0.0
2006-07-16,0.0,0.0
2006-07-23,0.0,0.0
2006-07-30,0.0,0.0
2006-08-06,0.0,0.0
2006-08-13,0.0,0.0
2006-08-20,0.0,0.0
2006-08-27,0.0,0.0
2006-09-03,0.0,0.0
2006-09-10,0.0,0.0
2006-09-17,0.0,0.0
2006-09-24,0.0,0.0
2006-10-01,0.0,0.0
2006-10-08,0.0,0.0
2006-10-15,0.0,0.0
2006-10-22,0.0,0.0
2006-10-29,0.0,0.0
2006-11-05,0.0,0.0
2006-11-12,0.0,0.0
2006-11-19,0.0,0.0
2006-11-26,0.0,0.0
2006-12-03,0.0,0.0
2006-12-10,0.0,0.0
