Date,febre,manchas vermelhas pelo corpo,moleza,nausea,perda de paladar e apetite
2004-01-04,22,0,0,0,0
2004-01-11,18,0,0,0,0
2004-01-18,18,0,18,0,0
2004-01-25,17,0,18,0,0
2004-02-01,28,0,18,0,0
2004-02-08,17,0,18,0,0
2004-02-15,24,0,18,0,0
2004-02-22,19,0,18,19,0
2004-02-29,54,0,26,0,0
2004-03-07,14,0,21,0,0
2004-03-14,14,0,21,0,0
2004-03-21,27,0,24,0,0
2004-03-28,41,0,27,0,0
2004-04-04,22,0,23,0,0
2004-04-11,23,0,23,0,0
2004-04-18,13,0,26,0,0
2004-04-25,13,0,20,0,0
2004-05-02,13,0,13,0,0
2004-05-09,13,0,39,0,0
2004-05-16,24,0,25,0,0
2004-05-23,12,0,18,12,0
2004-05-30,42,0,12,0,0
2004-06-06,32,0,19,0,0
2004-06-13,35,0,12,0,0
2004-06-20,12,0,17,0,0
2004-06-27,36,0,18,0,0
2004-07-04,18,0,25,0,0
2004-07-11,21,0,31,0,0
2004-07-18,23,0,13,0,0
2004-07-25,25,0,13,13,0
2004-08-01,12,0,18,11,0
2004-08-08,10,0,23,11,0
2004-08-15,10,0,27,11,0
2004-08-22,10,0,30,0,0
2004-08-29,21,0,21,0,0
2004-09-05,12,0,20,0,0
2004-09-12,29,0,20,0,0
2004-09-19,10,0,10,0,0
2004-09-26,19,0,30,0,0
2004-10-03,20,0,10,0,0
2004-10-10,31,0,25,0,0
2004-10-17,10,0,15,0,0
2004-10-24,17,0,11,0,0
2004-10-31,20,0,10,0,0
2004-11-07,39,0,13,0,0
2004-11-14,11,0,21,0,0
2004-11-21,14,0,19,0,0
2004-11-28,14,0,14,0,0
2004-12-05,13,0,10,0,0
2004-12-12,13,0,16,0,0
2004-12-19,13,0,11,0,0
2004-12-26,32,0,11,16,0
2005-01-02,36,0,11,10,0
2005-01-09,32,0,16,10,0
2005-01-16,10,0,21,10,0
2005-01-23,10,0,11,10,0
2005-01-30,11,0,11,0,0
2005-02-06,9,0,9,0,0
