Semana,febre,manchas vermelhas pelo corpo,moleza,nausea,perda de paladar e apetite
2004-01-04,34,0,34,0,0
2004-01-11,26,0,29,0,0
2004-01-18,26,0,29,0,0
2004-01-25,27,0,29,0,0
2004-02-01,28,0,29,0,0
2004-02-08,29,0,29,0,0
2004-02-15,20,0,34,0,0
2004-02-22,20,0,39,0,0
2004-02-29,20,0,44,0,0
2004-03-07,20,0,49,0,0
2004-03-14,20,0,20,0,0
2004-03-21,37,0,92,0,0
2004-03-28,19,0,19,0,0
2004-04-04,65,0,25,0,0
2004-04-11,37,0,31,0,0
2004-04-18,37,0,37,0,0
2004-04-25,28,0,18,0,0
2004-05-02,18,0,18,0,0
2004-05-09,36,0,18,0,0
2004-05-16,46,0,18,0,0
2004-05-23,34,0,17,0,0
2004-05-30,18,0,18,0,0
2004-06-06,18,0,36,0,0
2004-06-13,18,0,42,0,0
2004-06-20,33,0,48,0,0
2004-06-27,17,0,16,0,0
2004-07-04,69,0,19,0,0
2004-07-11,22,0,22,0,0
2004-07-18,28,0,19,0,0
2004-07-25,28,0,17,0,0
2004-08-01,17,0,17,0,0
2004-08-08,17,0,17,0,0
2004-08-15,15,0,15,0,0
2004-08-22,32,0,16,0,0
2004-08-29,31,0,16,0,0
2004-09-05,49,0,16,0,0
2004-09-12,15,0,15,0,0
2004-09-19,22,0,15,0,0
2004-09-26,29,0,15,14,0
2004-10-03,22,0,15,0,0
2004-10-10,25,0,18,0,0
2004-10-17,29,0,14,0,0
2004-10-24,18,0,15,0,0
2004-10-31,40,0,16,0,0
2004-11-07,30,0,14,0,0
2004-11-14,25,0,14,0,0
2004-11-21,14,0,14,0,0
2004-11-28,15,0,22,0,0
2004-12-05,62,0,31,0,0
2004-12-12,16,0,0,0,0
2004-12-19,19,0,0,0,0
2004-12-26,21,0,0,0,0
2005-01-02,18,0,0,0,0
2005-01-09,17,0,0,0,0
2005-01-16,17,0,0,16,0
2005-01-23,17,0,0,0,0
2005-01-30,34,0,0,0,0
2005-02-06,20,0,0,0,0
2005-02-13,16,0,0,0,0
2005-02-20,13,0,0,0,0
2005-02-27,13,0,0,0,0
2005-03-06,13,0,0,13,0
2005-03-13,13,0,12,0,0
2005-03-20,13,0,13,0,0
2005-03-27,16,0,22,0,0
2005-04-03,16,0,16,0,0
2005-04-10,11,0,18,0,0
2005-04-17,36,0,19,0,0
2005-04-24,39,0,21,0,0
2005-05-01,33,0,22,0,0
2005-05-08,11,0,22,0,0
2005-05-15,11,0,12,0,0
2005-05-22,48,0,12,0,0
2005-05-29,11,0,11,0,0
2005-06-05,16,0,16,0,0
2005-06-12,15,0,15,10,0
2005-06-19,26,0,21,11,0
2005-06-26,10,0,21,0,0
2005-07-03,11,0,11,0,0
2005-07-10,16,0,11,0,0
2005-07-17,17,0,11,0,0
2005-07-24,22,0,14,0,0
2005-07-31,27,0,17,11,0
2005-08-07,10,0,20,10,0
2005-08-14,15,0,10,0,0
2005-08-21,23,0,14,0,0
2005-08-28,9,0,19,0,0
2005-09-04,24,0,9,0,0
2005-09-11,22,0,9,0,0
2005-09-18,14,0,10,0,0
2005-09-25,9,0,9,0,0
2005-10-02,32,0,9,0,0
2005-10-09,32,0,14,0,0
2005-10-16,47,0,9,0,0
2005-10-23,55,0,8,8,0
2005-10-30,83,0,14,9,0
2005-11-06,100,0,30,9,0
2005-11-13,46,0,23,9,0
2005-11-20,67,0,17,8,0
2005-11-27,33,0,8,0,0
2005-12-04,23,0,9,0,0
2005-12-11,9,0,9,0,0
2005-12-18,10,0,10,0,0
2005-12-25,17,0,9,0,0
2006-01-01,20,0,9,0,0
2006-01-08,20,0,9,0,0
2006-01-15,9,0,9,0,0
2006-01-22,23,0,9,9,0
2006-01-29,9,0,9,9,0
2006-02-05,28,0,9,9,0
2006-02-12,18,0,9,9,0
2006-02-19,9,0,9,9,0
2006-02-26,15,0,12,7,0
2006-03-05,15,0,16,7,0
2006-03-12,34,0,7,7,0
2006-03-19,7,0,7,0,0
2006-03-26,18,0,7,0,0
2006-04-02,25,0,11,0,0
2006-04-09,22,0,11,0,0
2006-04-16,29,0,11,0,0
2006-04-23,14,0,10,0,0
2006-04-30,22,0,7,0,0
2006-05-07,17,0,24,0,0
2006-05-14,30,0,20,0,0
2006-05-21,27,0,7,0,0
2006-05-28,22,0,19,0,0
2006-06-04,28,0,13,6,0
2006-06-11,14,0,24,6,0
2006-06-18,22,0,13,6,0
2006-06-25,7,0,23,6,0
2006-07-02,13,0,7,6,0
2006-07-09,19,0,6,6,0
2006-07-16,16,0,10,7,0
2006-07-23,10,0,13,7,0
2006-07-30,30,0,13,7,0
2006-08-06,16,0,6,6,0
2006-08-13,9,0,6,6,0
2006-08-20,33,0,6,6,0
2006-08-27,12,0,9,6,0
2006-09-03,38,0,13,6,0
2006-09-10,20,0,12,6,0
2006-09-17,14,0,6,6,0
2006-09-24,17,0,6,6,0
2006-10-01,17,0,17,6,0
2006-10-08,23,0,9,6,0
2006-10-15,16,0,5,5,0
2006-10-22,24,0,5,5,0
2006-10-29,22,0,11,5,0
2006-11-05,23,0,10,5,0
2006-11-12,15,0,8,5,0
2006-11-19,10,0,12,5,0
2006-11-26,10,0,10,5,0
2006-12-03,18,0,10,5,0
2006-12-10,26,0,8,0,0
2006-12-17,6,0,6,0,0
2006-12-24,8,0,0,0,0
2006-12-31,10,0,0,0,0
2007-01-07,5,0,2,0,0
2007-01-14,2,0,2,0,0
2007-01-21,2,0,2,0,0
2007-01-28,7,0,2,0,0
2007-02-04,4,0,1,2,0
