Date,diarreia,dor no corpo,fadiga,irritacao sobre a pele,mal estar
2004-01-04,0.0,0.0,0.0,0.0,0.0
2004-01-11,0.0,0.0,0.0,0.0,0.0
2004-01-18,0.0,0.0,0.0,0.0,0.0
2004-01-25,0.0,0.0,0.0,0.0,0.0
2004-02-01,0.0,0.0,0.0,0.0,0.0
2004-02-08,0.0,0.0,0.0,0.0,0.0
2004-02-15,0.0,0.0,0.0,0.0,0.0
2004-02-22,0.0,0.0,0.0,0.0,67.0
2004-02-29,0.0,0.0,0.0,0.0,42.0
2004-03-07,0.0,0.0,0.0,0.0,42.0
2004-03-14,0.0,0.0,0.0,0.0,42.0
2004-03-21,0.0,0.0,0.0,0.0,0.0
2004-03-28,0.0,0.0,0.0,0.0,0.0
2004-04-04,50.0,0.0,0.0,0.0,0.0
2004-04-11,0.0,0.0,0.0,0.0,0.0
2004-04-18,0.0,0.0,0.0,0.0,0.0
2004-04-25,0.0,0.0,0.0,0.0,0.0
2004-05-02,0.0,0.0,0.0,0.0,0.0
2004-05-09,0.0,0.0,0.0,0.0,0.0
2004-05-16,0.0,0.0,0.0,0.0,0.0
2004-05-23,0.0,0.0,0.0,0.0,0.0
2004-05-30,38.0,0.0,0.0,0.0,0.0
2004-06-06,35.0,0.0,0.0,0.0,0.0
2004-06-13,35.0,0.0,0.0,0.0,35.0
2004-06-20,37.0,0.0,0.0,0.0,0.0
2004-06-27,38.0,0.0,0.0,0.0,0.0
2004-07-04,0.0,0.0,43.0,0.0,0.0
2004-07-11,0.0,0.0,0.0,0.0,0.0
2004-07-18,0.0,0.0,0.0,0.0,0.0
2004-07-25,0.0,0.0,0.0,0.0,0.0
2004-08-01,0.0,0.0,0.0,0.0,0.0
2004-08-08,0.0,0.0,0.0,0.0,0.0
2004-08-15,0.0,0.0,0.0,0.0,0.0
2004-08-22,0.0,0.0,0.0,0.0,0.0
2004-08-29,0.0,0.0,0.0,0.0,0.0
2004-09-05,37.0,0.0,0.0,0.0,0.0
2004-09-12,0.0,0.0,0.0,0.0,0.0
2004-09-19,0.0,0.0,0.0,0.0,0.0
2004-09-26,0.0,0.0,0.0,0.0,0.0
2004-10-03,0.0,0.0,32.0,0.0,0.0
2004-10-10,0.0,0.0,33.0,0.0,0.0
2004-10-17,0.0,0.0,35.0,0.0,0.0
2004-10-24,0.0,0.0,36.0,0.0,0.0
2004-10-31,0.0,0.0,0.0,0.0,0.0
2004-11-07,0.0,0.0,0.0,0.0,47.0
2004-11-14,0.0,0.0,0.0,0.0,0.0
2004-11-21,31.0,0.0,0.0,0.0,0.0
2004-11-28,0.0,0.0,0.0,0.0,0.0
2004-12-05,0.0,0.0,36.0,0.0,0.0
2004-12-12,0.0,0.0,0.0,0.0,0.0
2004-12-19,0.0,44.0,0.0,0.0,0.0
2004-12-26,0.0,0.0,0.0,0.0,0.0
2005-01-02,0.0,0.0,0.0,0.0,0.0
2005-01-09,0.0,0.0,0.0,0.0,0.0
2005-01-16,0.0,0.0,0.0,0.0,0.0
2005-01-23,38.0,0.0,0.0,0.0,0.0
2005-01-30,0.0,0.0,0.0,0.0,0.0
2005-02-06,0.0,0.0,0.0,0.0,0.0
2005-02-13,0.0,0.0,0.0,0.0,0.0
2005-02-20,0.0,0.0,36.0,0.0,0.0
2005-02-27,0.0,0.0,31.0,0.0,0.0
2005-03-06,0.0,0.0,31.0,0.0,0.0
2005-03-13,31.0,0.0,31.0,0.0,0.0
2005-03-20,30.0,0.0,36.0,0.0,0.0
2005-03-27,30.0,0.0,40.0,0.0,0.0
2005-04-03,30.0,0.0,44.0,0.0,0.0
2005-04-10,30.0,0.0,30.0,0.0,0.0
2005-04-17,59.0,0.0,0.0,0.0,0.0
2005-04-24,89.0,0.0,0.0,0.0,0.0
2005-05-01,28.0,0.0,0.0,0.0,0.0
2005-05-08,28.0,0.0,0.0,0.0,0.0
2005-05-15,28.0,28.0,0.0,0.0,0.0
2005-05-22,0.0,28.0,0.0,0.0,0.0
2005-05-29,0.0,28.0,0.0,0.0,0.0
2005-06-05,0.0,28.0,0.0,0.0,0.0
2005-06-12,0.0,28.0,0.0,0.0,0.0
2005-06-19,0.0,28.0,55.0,0.0,28.0
2005-06-26,0.0,0.0,27.0,0.0,0.0
2005-07-03,0.0,0.0,28.0,0.0,0.0
2005-07-10,0.0,0.0,30.0,0.0,0.0
2005-07-17,0.0,0.0,31.0,0.0,0.0
2005-07-24,0.0,0.0,0.0,0.0,0.0
2005-07-31,0.0,0.0,0.0,0.0,0.0
2005-08-07,0.0,0.0,0.0,0.0,0.0
2005-08-14,0.0,0.0,0.0,0.0,0.0
2005-08-21,0.0,0.0,0.0,0.0,0.0
2005-08-28,0.0,0.0,0.0,0.0,25.0
2005-09-04,0.0,0.0,25.0,0.0,100.0
2005-09-11,48.0,0.0,30.0,0.0,0.0
2005-09-18,0.0,0.0,35.0,0.0,0.0
2005-09-25,0.0,0.0,41.0,0.0,0.0
2005-10-02,0.0,0.0,46.0,0.0,0.0
2005-10-09,0.0,0.0,44.0,0.0,0.0
2005-10-16,0.0,0.0,44.0,0.0,0.0
2005-10-23,22.0,0.0,44.0,0.0,0.0
2005-10-30,0.0,0.0,21.0,0.0,0.0
2005-11-06,0.0,0.0,21.0,0.0,26.0
2005-11-13,0.0,0.0,21.0,0.0,0.0
2005-11-20,0.0,0.0,21.0,0.0,0.0
2005-11-27,0.0,0.0,22.0,0.0,0.0
2005-12-04,0.0,0.0,23.0,0.0,0.0
