Date,anemia,crescimento progressivo das feridas,indisposicao,palidez,perda de peso
2004-01-04,18.0,0.0,0.0,0.0,0.0
2004-01-11,29.0,0.0,0.0,0.0,0.0
2004-01-18,28.0,0.0,0.0,0.0,0.0
2004-01-25,28.0,0.0,0.0,0.0,14.0
2004-02-01,31.0,0.0,0.0,0.0,0.0
2004-02-08,14.0,0.0,0.0,0.0,0.0
2004-02-15,27.0,0.0,0.0,0.0,0.0
2004-02-22,16.0,0.0,0.0,0.0,0.0
2004-02-29,22.0,0.0,0.0,0.0,0.0
2004-03-07,29.0,0.0,0.0,0.0,0.0
2004-03-14,24.0,0.0,0.0,0.0,0.0
2004-03-21,22.0,0.0,0.0,0.0,0.0
2004-03-28,12.0,0.0,0.0,0.0,0.0
2004-04-04,27.0,0.0,0.0,0.0,0.0
2004-04-11,100.0,0.0,0.0,0.0,0.0
2004-04-18,24.0,0.0,0.0,0.0,0.0
2004-04-25,47.0,0.0,0.0,0.0,0.0
2004-05-02,46.0,0.0,0.0,0.0,12.0
2004-05-09,46.0,0.0,0.0,0.0,11.0
2004-05-16,33.0,0.0,0.0,0.0,11.0
2004-05-23,65.0,0.0,0.0,0.0,11.0
2004-05-30,32.0,0.0,0.0,0.0,0.0
2004-06-06,47.0,0.0,0.0,0.0,0.0
2004-06-13,11.0,0.0,0.0,0.0,0.0
2004-06-20,55.0,0.0,0.0,0.0,0.0
2004-06-27,49.0,0.0,0.0,0.0,0.0
2004-07-04,49.0,0.0,0.0,0.0,0.0
2004-07-11,14.0,0.0,0.0,0.0,14.0
2004-07-18,12.0,0.0,0.0,0.0,16.0
2004-07-25,24.0,0.0,0.0,0.0,18.0
2004-08-01,11.0,0.0,0.0,0.0,20.0
2004-08-08,32.0,0.0,0.0,0.0,21.0
2004-08-15,32.0,0.0,0.0,11.0,11.0
2004-08-22,41.0,0.0,0.0,0.0,0.0
2004-08-29,74.0,0.0,0.0,0.0,0.0
2004-09-05,23.0,0.0,0.0,0.0,0.0
2004-09-12,20.0,0.0,0.0,0.0,0.0
2004-09-19,20.0,0.0,0.0,0.0,0.0
2004-09-26,30.0,0.0,0.0,0.0,0.0
2004-10-03,10.0,0.0,0.0,0.0,0.0
2004-10-10,39.0,0.0,0.0,0.0,0.0
2004-10-17,30.0,0.0,0.0,0.0,0.0
2004-10-24,23.0,0.0,0.0,0.0,0.0
2004-10-31,42.0,0.0,0.0,0.0,11.0
2004-11-07,45.0,0.0,0.0,0.0,0.0
2004-11-14,47.0,0.0,0.0,0.0,0.0
2004-11-21,30.0,0.0,0.0,0.0,0.0
2004-11-28,19.0,0.0,0.0,0.0,0.0
2004-12-05,31.0,0.0,0.0,0.0,0.0
