PRINCÍPIO ATIVO,REGISTRO,PRODUTO,APRESENTAÇÃO,CLASSE TERAPÊUTICA
ABATACEPTE,1018003900019,ORENCIA,250 MG PO LIOF INJ CT FA + SER DESC,DOR NAS ARTICULAÇÕES
ABATACEPTE,1018003900027,ORENCIA,125 MG/ML SOL INJ CT 1 SER PREENCHIDA,DOR NAS ARTICULAÇÕES
ABATACEPTE,1018003900035,ORENCIA,125 MG/ML SOL INJ CT 4 SER PREENCHIDA,DOR NAS ARTICULAÇÕES
ABATACEPTE,1018003900043,ORENCIA,125 MG/ML SOL INJ CT 1 SER PREENCHIDA + DISPOSITIVO ULTRASAFE,DOR NAS ARTICULAÇÕES
ABATACEPTE,1018003900051,ORENCIA,125 MG/ML SOL INJ CT 4 SER PREENCHIDA + DISPOSITIVO ULTRASAFE,DOR NAS ARTICULAÇÕES
ABATACEPTE,1018003900061,ORENCIA,125 MG/ML SOL INJ CT 1 SER PREENC VD TRANS + DISPOSITIVO ULTRASAFE PASSIVE + EXTENSORES DE APOIO,DOR NAS ARTICULAÇÕES
ABATACEPTE,1018003900078,ORENCIA,125 MG/ML SOL INJ CT 4 SER PREENC VD TRANS + DISPOSITIVO ULTRASAFE PASSIVE + EXTENSORES DE APOIO,DOR NAS ARTICULAÇÕES
ACEBROFILINA,1004310860022,FILINAR G,5 MG/ML GEL OR CT FR PLAS INC X 120ML + COL MED,TOSSE
ACEBROFILINA,1356903940035,EXPECDILAT,10 MG/ML XPE CT FR VD AMB X 120 ML + CP MED,TOSSE
ACEBROFILINA,1438101310011,ACEBROFILINA,10 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED,TOSSE
ACEBROFILINA,1438101310038,ACEBROFILINA,10 MG/ML XPE CX 50 FR PLAS AMB X 120 ML + 50 CP MED (EMB HOSP),TOSSE
ACEBROFILINA,1542301160050,BRONTEK,10 MG/ML XPE CT FR PEAD X 120 ML + CP MED,TOSSE
ACEBROFILINA,1542301160069,BRONTEK,10 MG/ML XPE CX 60 FR PEAD X 120 ML + 60 CP MED (EMB HOSP),TOSSE
ACEBROFILINA,1542301230016,ACEBROFILINA,10MG/ML XPE CT FR VD AMB X 120ML + CP MED,TOSSE
ACEBROFILINA,1542301230059,ACEBROFILINA,10 MG/ML XPE CT FR PEAD X 120 ML + CP MED,TOSSE
ACEBROFILINA,1542301230067,ACEBROFILINA,10 MG/ML XPE CX 60 FR PEAD X 120 ML + 60 CP MED (EMB HOSP),TOSSE
ACEBROFILINA,1542301160018,BRONTEK,10 MG/ML XPE CT FR VD AMB X 120 ML + CP MED,TOSSE
ACEBROFILINA,1677301840026,BRONCOLEX,10 MG/ML XPE AD CT FR VD AMB X 120 ML + CP MED X 10 ML,TOSSE
ACEBROFILINA,1677303210021,ACEBROFILINA,10 MG/ML XPE CT FR VD AMB X 120 ML + CP MED,TOSSE
ACEBROFILINA,1779400170013,BRONFILIL,10 MG/ML XPE CT FR VD AMB X 120 ML + COPO MED,TOSSE
ACEBROFILINA,1832600370032,ACEBROFILINA,10 MG/ML XPE CT FR VD AMB X 120 ML + DOSADOR ,TOSSE
ACEBROFILINA,1053501620024,RESPIRAN,10 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED,TOSSE
ACEBROFILINA,1037004620131,ACEBROFILINA,10 MG/ML XPE CT FR PLAS OPC X 120ML + COP MED,TOSSE
ACEBROFILINA,1037004620253,ACEBROFILINA,10 MG/ML XPE CT FR PET AMB X 120 ML + COP,TOSSE
ACEBROFILINA,1037004620059,ACEBROFILINA,10 MG/ML XPE CT FR VD AMB X 120ML ,TOSSE
ACEBROFILINA,1037005630031,DILABRONCO,10 MG/ML XPE CT FR PLAS OPC X 120 ML + CP MED,TOSSE
ACEBROFILINA,1046502310018,BRONDYNEO,10 MG/ ML XPE CT FR VD AMB X 120 ML + CP MED,TOSSE
ACEBROFILINA,1046504180030,ACEBROFILINA,10 MG/ML XPE CT FR VD AMB X 120 ML + CP MED,TOSSE
ACEBROFILINA,1058303150022,ACEBROFILINA,10 MG/ML XPE CT FR VD AMB X 120 ML + COP,TOSSE
ACEBROFILINA,1121303330044,ACEBROFILINA,10 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED,TOSSE
ACEBROFILINA,1121303330028,ACEBROFILINA,10 MG/ML XPE CT FR VD AMB X 120 ML + CP MED,TOSSE
ACEBROFILINA,1023506580029,ACEBROFILINA,10 MG/ML XPE CT FR VD AMB X 120 ML + COP,TOSSE
ACEBROFILINA,1023507750025,BRONCOLEX,10 MG/ML XPE AD CT FR VD AMB X 120 ML + CP MED X 10 ML,TOSSE
ACEBROFILINA,1057301270065,BRONDILAT,10 MG / ML XPE CT FR PLAS PET AMB X 120 ML + CP MED X 10 ML,TOSSE
ACEBROFILINA,1057301270091,BRONDILAT,10 MG / ML XPE CT FR PLAS PET AMB X 60 ML + CP MED X 10 ML,TOSSE
ACEBROFILINA,1049713180054,ACEBROFILINA,10 MG/ML XPE CT FR PET AMB X 120 ML + COP,TOSSE
