Date,febre,manchas vermelhas pelo corpo,moleza,nausea,perda de paladar e apetite
2004-01-04,0,0,0,0,0
2004-01-11,27,0,0,0,0
2004-01-18,24,0,0,0,0
2004-01-25,24,0,0,0,0
2004-02-01,25,0,0,0,0
2004-02-08,58,0,0,0,0
2004-02-15,91,0,23,0,0
2004-02-22,92,0,28,0,0
2004-02-29,29,0,19,0,0
2004-03-07,29,0,19,0,0
2004-03-14,29,0,19,0,0
2004-03-21,38,0,28,0,0
2004-03-28,36,0,38,0,0
2004-04-04,23,0,31,0,0
2004-04-11,31,0,31,0,0
2004-04-18,40,0,17,0,0
2004-04-25,27,0,17,0,0
2004-05-02,18,0,18,0,0
2004-05-09,35,0,16,18,0
2004-05-16,42,0,16,17,0
2004-05-23,48,0,16,0,0
2004-05-30,16,0,16,0,0
2004-06-06,28,0,19,0,0
2004-06-13,24,0,33,0,0
2004-06-20,24,0,25,0,0
2004-06-27,18,0,0,0,0
2004-07-04,36,0,0,0,0
2004-07-11,22,0,0,0,0
2004-07-18,18,0,0,0,0
2004-07-25,18,0,0,18,0
2004-08-01,16,0,16,0,0
2004-08-08,16,0,19,0,0
2004-08-15,30,0,22,0,0
2004-08-22,22,0,15,0,0
2004-08-29,29,0,15,0,0
2004-09-05,25,0,14,0,0
2004-09-12,28,0,14,14,0
2004-09-19,27,0,28,14,0
2004-09-26,27,0,14,0,0
2004-10-03,14,0,28,0,0
2004-10-10,36,0,18,0,0
2004-10-17,41,0,27,0,0
2004-10-24,40,0,40,0,0
2004-10-31,32,0,20,0,0
2004-11-07,40,0,20,20,0
2004-11-14,17,0,25,0,0
2004-11-21,52,0,26,0,0
2004-11-28,13,0,21,0,0
2004-12-05,22,0,21,0,0
2004-12-12,14,0,0,0,0
2004-12-19,19,0,0,0,0
2004-12-26,43,0,0,0,0
2005-01-02,16,0,0,0,0
2005-01-09,15,0,0,0,0
2005-01-16,14,0,15,0,0
2005-01-23,14,0,14,0,0
2005-01-30,14,0,14,0,0
2005-02-06,27,0,12,0,0
2005-02-13,37,0,12,0,0
2005-02-20,25,0,25,25,0
2005-02-27,24,0,12,0,0
2005-03-06,33,0,17,0,0
2005-03-13,33,0,17,0,0
2005-03-20,32,0,10,0,0
2005-03-27,30,0,10,0,0
2005-04-03,22,0,16,0,0
2005-04-10,22,0,32,0,0
2005-04-17,12,0,24,0,0
2005-04-24,37,0,16,0,0
2005-05-01,10,0,26,0,0
2005-05-08,21,0,31,0,0
2005-05-15,10,0,10,0,0
2005-05-22,11,0,11,0,0
2005-05-29,29,0,20,0,0
2005-06-05,40,0,49,10,0
2005-06-12,25,0,19,10,0
2005-06-19,20,0,19,10,0
2005-06-26,21,0,10,11,0
2005-07-03,22,0,11,11,0
2005-07-10,11,0,11,11,0
2005-07-17,17,0,11,0,0
2005-07-24,22,0,11,0,0
2005-07-31,26,0,21,0,0
2005-08-07,29,0,19,0,0
2005-08-14,19,0,10,0,0
2005-08-21,16,0,16,0,0
2005-08-28,9,0,9,0,0
2005-09-04,25,0,10,0,0
2005-09-11,26,0,26,9,0
2005-09-18,13,0,17,9,0
2005-09-25,13,0,9,9,0
2005-10-02,22,0,9,9,0
2005-10-09,38,0,9,0,0
2005-10-16,83,0,17,0,0
2005-10-23,100,0,8,0,0
2005-10-30,100,0,9,0,0
2005-11-06,81,0,28,0,0
2005-11-13,30,0,30,0,0
2005-11-20,27,0,27,0,0
2005-11-27,56,0,16,8,0
2005-12-04,21,0,9,0,0
2005-12-11,17,0,9,0,0
2005-12-18,20,0,10,0,0
2005-12-25,11,0,9,0,0
2006-01-01,9,0,9,0,0
2006-01-08,15,0,9,0,0
2006-01-15,21,0,8,0,0
2006-01-22,16,0,8,0,0
2006-01-29,11,0,14,0,0
2006-02-05,19,0,19,0,0
2006-02-12,18,0,11,0,0
2006-02-19,26,0,7,0,0
2006-02-26,37,0,17,0,0
2006-03-05,20,0,28,0,0
2006-03-12,30,0,7,0,0
2006-03-19,26,0,23,0,0
2006-03-26,26,0,10,6,0
2006-04-02,13,0,13,8,0
2006-04-09,15,0,15,10,0
2006-04-16,21,0,14,11,0
2006-04-23,13,0,13,13,0
2006-04-30,17,0,7,6,0
2006-05-07,35,0,6,6,0
2006-05-14,19,0,22,6,0
2006-05-21,21,0,6,6,0
2006-05-28,21,0,18,6,0
2006-06-04,12,0,12,6,0
2006-06-11,25,0,14,6,0
2006-06-18,26,0,13,6,0
2006-06-25,13,0,20,7,0
2006-07-02,17,0,7,7,0
2006-07-09,17,0,7,7,0
2006-07-16,13,0,10,6,0
2006-07-23,13,0,13,6,0
2006-07-30,21,0,9,6,0
2006-08-06,23,0,12,6,0
2006-08-13,19,0,12,5,0
2006-08-20,16,0,25,5,0
2006-08-27,13,0,16,5,0
2006-09-03,12,0,15,5,0
2006-09-10,29,0,13,5,0
2006-09-17,25,0,13,5,0
2006-09-24,20,0,17,5,0
2006-10-01,5,0,20,5,0
2006-10-08,14,0,11,5,0
2006-10-15,14,0,16,5,0
2006-10-22,14,0,19,5,0
2006-10-29,12,0,13,4,0
2006-11-05,27,0,18,4,0
2006-11-12,14,0,17,0,0
2006-11-19,16,0,15,0,0
2006-11-26,21,0,15,0,0
2006-12-03,14,0,14,0,0
2006-12-10,14,0,9,0,0
2006-12-17,5,0,10,5,0
2006-12-24,8,0,0,0,0
2006-12-31,11,0,0,0,0
2007-01-07,2,0,3,0,0
2007-01-14,3,0,2,1,0
2007-01-21,2,0,1,1,0
2007-01-28,3,0,1,1,0
2007-02-04,5,0,1,1,0
2007-02-11,3,0,1,1,0
2007-02-18,3,0,1,1,0
2007-02-25,3,0,3,1,0
2007-03-04,3,0,3,1,0
2007-03-11,3,0,3,1,0
