Date,febre,manchas vermelhas pelo corpo,moleza,nausea,perda de paladar e apetite
2004-01-04,0,0,0,0,0
2004-01-11,0,0,0,0,0
2004-01-18,0,0,0,0,0
2004-01-25,0,0,0,0,0
2004-02-01,0,0,0,0,0
2004-02-08,0,0,0,0,0
2004-02-15,0,0,0,0,0
2004-02-22,0,0,71,0,0
2004-02-29,0,0,80,0,0
2004-03-07,0,0,39,0,0
2004-03-14,0,0,39,0,0
2004-03-21,0,0,39,0,0
2004-03-28,0,0,39,0,0
2004-04-04,0,0,100,0,0
2004-04-11,0,0,66,0,0
2004-04-18,39,0,72,0,0
2004-04-25,38,0,77,0,0
2004-05-02,38,0,36,0,0
2004-05-09,39,0,36,0,0
2004-05-16,35,0,36,0,0
2004-05-23,36,0,36,36,0
2004-05-30,54,0,36,0,0
2004-06-06,39,0,37,0,0
2004-06-13,39,0,38,0,0
2004-06-20,39,0,39,0,0
2004-06-27,42,0,42,0,0
2004-07-04,41,0,45,0,0
2004-07-11,92,0,47,0,0
2004-07-18,40,0,34,0,0
2004-07-25,40,0,34,0,0
2004-08-01,40,0,34,0,0
2004-08-08,34,0,34,0,0
2004-08-15,34,0,34,0,0
2004-08-22,34,0,31,0,0
2004-08-29,30,0,31,0,0
2004-09-05,30,0,31,0,0
2004-09-12,30,0,31,0,0
2004-09-19,0,0,31,0,0
2004-09-26,0,0,31,0,0
2004-10-03,0,0,32,0,0
2004-10-10,0,0,32,0,0
2004-10-17,0,0,33,0,0
2004-10-24,0,0,34,0,0
2004-10-31,34,0,34,0,0
2004-11-07,28,0,31,0,0
2004-11-14,28,0,31,0,0
2004-11-21,28,0,31,0,0
2004-11-28,28,0,31,0,0
2004-12-05,31,0,31,0,0
2004-12-12,34,0,0,0,0
2004-12-19,38,0,0,0,0
2004-12-26,34,0,0,0,0
2005-01-02,34,0,0,0,0
2005-01-09,32,0,0,0,0
2005-01-16,31,0,0,0,0
2005-01-23,31,0,0,0,0
2005-01-30,33,0,0,0,0
2005-02-06,26,0,0,0,0
2005-02-13,26,0,27,0,0
2005-02-20,26,0,29,0,0
2005-02-27,26,0,23,0,0
2005-03-06,49,0,23,0,0
2005-03-13,24,0,23,0,0
2005-03-20,28,0,23,0,0
2005-03-27,22,0,23,0,0
2005-04-03,34,0,23,0,0
2005-04-10,23,0,23,0,0
2005-04-17,25,0,23,0,0
2005-04-24,22,0,23,0,0
2005-05-01,44,0,23,0,0
2005-05-08,66,0,44,22,0
2005-05-15,22,0,33,0,0
2005-05-22,22,0,33,0,0
2005-05-29,64,0,21,0,0
2005-06-05,22,0,22,0,0
2005-06-12,22,0,22,0,0
2005-06-19,23,0,22,0,0
2005-06-26,23,0,23,0,0
2005-07-03,24,0,24,0,0
2005-07-10,23,0,24,0,0
2005-07-17,23,0,37,0,0
2005-07-24,25,0,49,25,0
2005-07-31,22,0,46,0,0
2005-08-07,22,0,21,0,0
2005-08-14,21,0,21,0,0
2005-08-21,23,0,19,0,0
2005-08-28,59,0,19,0,0
2005-09-04,21,0,19,21,0
2005-09-11,48,0,19,20,0
2005-09-18,19,0,19,20,0
2005-09-25,39,0,19,20,0
2005-10-02,20,0,18,0,0
2005-10-09,20,0,20,0,0
2005-10-16,29,0,27,0,0
2005-10-23,31,0,33,0,0
2005-10-30,49,0,40,0,0
2005-11-06,86,0,22,0,0
2005-11-13,87,0,19,0,0
2005-11-20,53,0,17,0,0
2005-11-27,35,0,18,0,0
2005-12-04,38,0,19,19,0
2005-12-11,19,0,0,0,0
2005-12-18,44,0,0,0,0
2005-12-25,19,0,0,0,0
2006-01-01,19,0,0,0,0
2006-01-08,19,0,0,0,0
2006-01-15,19,0,19,0,0
2006-01-22,19,0,19,0,0
2006-01-29,19,0,19,0,0
2006-02-05,17,0,17,0,0
2006-02-12,35,0,17,18,0
2006-02-19,37,0,18,0,0
2006-02-26,22,0,16,0,0
2006-03-05,32,0,16,0,0
2006-03-12,24,0,16,0,0
2006-03-19,16,0,16,0,0
2006-03-26,15,0,45,0,0
2006-04-02,15,0,15,0,0
2006-04-09,18,0,37,0,0
2006-04-16,17,0,15,0,0
2006-04-23,15,0,15,0,0
2006-04-30,16,0,16,0,0
2006-05-07,16,0,15,0,0
2006-05-14,15,0,15,0,0
