Date,diarreia,dor no corpo,fadiga,irritacao sobre a pele,mal estar
2004-01-04,0.0,0.0,0.0,0.0,0.0
2004-01-11,0.0,0.0,0.0,0.0,0.0
2004-01-18,0.0,0.0,0.0,0.0,0.0
2004-01-25,40.0,0.0,0.0,0.0,0.0
2004-02-01,38.0,0.0,0.0,0.0,0.0
2004-02-08,38.0,0.0,0.0,0.0,0.0
2004-02-15,38.0,0.0,0.0,0.0,0.0
2004-02-22,50.0,0.0,0.0,0.0,0.0
2004-02-29,62.0,0.0,0.0,0.0,0.0
2004-03-07,35.0,0.0,0.0,0.0,0.0
2004-03-14,35.0,0.0,0.0,0.0,0.0
2004-03-21,35.0,0.0,0.0,0.0,0.0
2004-03-28,35.0,0.0,0.0,0.0,0.0
2004-04-04,34.0,0.0,0.0,0.0,0.0
2004-04-11,34.0,0.0,0.0,0.0,57.0
2004-04-18,34.0,0.0,34.0,0.0,0.0
2004-04-25,34.0,0.0,33.0,0.0,0.0
2004-05-02,34.0,0.0,33.0,0.0,0.0
2004-05-09,33.0,0.0,33.0,0.0,0.0
2004-05-16,63.0,0.0,31.0,0.0,0.0
2004-05-23,31.0,0.0,31.0,0.0,0.0
2004-05-30,30.0,0.0,0.0,0.0,0.0
2004-06-06,41.0,0.0,0.0,0.0,0.0
2004-06-13,52.0,0.0,0.0,0.0,0.0
2004-06-20,63.0,0.0,0.0,0.0,0.0
2004-06-27,33.0,0.0,0.0,0.0,0.0
2004-07-04,32.0,0.0,35.0,0.0,0.0
2004-07-11,32.0,0.0,35.0,0.0,0.0
2004-07-18,32.0,0.0,35.0,0.0,0.0
2004-07-25,32.0,0.0,35.0,0.0,0.0
2004-08-01,32.0,0.0,0.0,0.0,0.0
2004-08-08,46.0,0.0,0.0,0.0,0.0
2004-08-15,60.0,0.0,0.0,0.0,0.0
2004-08-22,28.0,0.0,0.0,0.0,0.0
2004-08-29,28.0,0.0,0.0,0.0,0.0
2004-09-05,28.0,0.0,0.0,0.0,0.0
2004-09-12,28.0,0.0,28.0,0.0,0.0
2004-09-19,28.0,0.0,28.0,0.0,0.0
2004-09-26,31.0,0.0,29.0,0.0,0.0
2004-10-03,34.0,0.0,29.0,0.0,0.0
2004-10-10,37.0,0.0,37.0,0.0,37.0
2004-10-17,32.0,0.0,0.0,0.0,0.0
2004-10-24,32.0,0.0,0.0,0.0,0.0
2004-10-31,36.0,0.0,0.0,0.0,0.0
2004-11-07,40.0,0.0,0.0,0.0,0.0
2004-11-14,31.0,0.0,0.0,0.0,0.0
2004-11-21,31.0,0.0,0.0,0.0,0.0
2004-11-28,31.0,0.0,0.0,0.0,0.0
2004-12-05,31.0,29.0,0.0,0.0,0.0
2004-12-12,31.0,0.0,31.0,0.0,0.0
2004-12-19,37.0,0.0,29.0,0.0,0.0
2004-12-26,43.0,0.0,29.0,0.0,0.0
2005-01-02,32.0,0.0,29.0,0.0,0.0
2005-01-09,59.0,0.0,29.0,0.0,30.0
2005-01-16,29.0,0.0,29.0,0.0,0.0
2005-01-23,29.0,0.0,27.0,0.0,0.0
2005-01-30,37.0,0.0,27.0,0.0,0.0
2005-02-06,46.0,0.0,27.0,0.0,0.0
2005-02-13,54.0,0.0,27.0,0.0,0.0
2005-02-20,28.0,0.0,0.0,0.0,0.0
2005-02-27,39.0,26.0,0.0,0.0,0.0
2005-03-06,51.0,0.0,0.0,0.0,0.0
2005-03-13,50.0,0.0,0.0,0.0,0.0
2005-03-20,44.0,0.0,0.0,0.0,26.0
2005-03-27,44.0,0.0,22.0,0.0,0.0
2005-04-03,24.0,0.0,35.0,0.0,0.0
2005-04-10,24.0,0.0,39.0,0.0,0.0
2005-04-17,36.0,0.0,44.0,0.0,0.0
2005-04-24,48.0,0.0,48.0,0.0,0.0
2005-05-01,25.0,0.0,24.0,0.0,0.0
2005-05-08,25.0,0.0,23.0,0.0,23.0
2005-05-15,25.0,0.0,22.0,0.0,0.0
2005-05-22,25.0,0.0,34.0,0.0,0.0
2005-05-29,22.0,0.0,46.0,0.0,0.0
2005-06-05,22.0,0.0,0.0,0.0,0.0
2005-06-12,23.0,0.0,0.0,0.0,0.0
2005-06-19,23.0,0.0,0.0,0.0,0.0
2005-06-26,24.0,0.0,0.0,0.0,0.0
2005-07-03,24.0,0.0,0.0,0.0,0.0
2005-07-10,24.0,0.0,0.0,0.0,0.0
2005-07-17,24.0,0.0,0.0,0.0,0.0
2005-07-24,24.0,0.0,49.0,0.0,0.0
2005-07-31,24.0,0.0,24.0,0.0,0.0
2005-08-07,32.0,0.0,24.0,0.0,0.0
2005-08-14,41.0,0.0,24.0,0.0,0.0
2005-08-21,50.0,0.0,25.0,0.0,0.0
2005-08-28,22.0,0.0,21.0,0.0,0.0
2005-09-04,22.0,22.0,28.0,0.0,0.0
2005-09-11,100.0,20.0,34.0,0.0,0.0
2005-09-18,41.0,0.0,41.0,0.0,0.0
2005-09-25,21.0,0.0,21.0,0.0,21.0
2005-10-02,21.0,0.0,42.0,0.0,27.0
2005-10-09,44.0,0.0,20.0,0.0,34.0
2005-10-16,20.0,0.0,20.0,0.0,41.0
2005-10-23,41.0,20.0,20.0,0.0,21.0
2005-10-30,24.0,22.0,21.0,0.0,21.0
2005-11-06,24.0,24.0,21.0,0.0,0.0
2005-11-13,19.0,0.0,22.0,0.0,0.0
2005-11-20,19.0,0.0,19.0,0.0,0.0
2005-11-27,19.0,0.0,20.0,0.0,0.0
2005-12-04,42.0,0.0,21.0,0.0,0.0
